lat,city,lng,name
-37.874853,Melbourne,145.041504,530 Collins St
45.468799,Milan,9.177704,"Colt Milan, Lancetti"
52.044041,,-0.69957,
44.964798,Minneapolis,-93.208008,CenturyLink MP2
45.521744,Montreal,-73.674316,CenturyLink MR1
55.739482,Moscow,37.619934,SAFEDATA Moscow-I
47.13923067964535,,-119.29573059082031,
19.017656,Mumbai,72.856178,GPX Mumbai
48.136767,Munich,11.557617,Equinix Münich #1
35.181446,Nagoya,136.906398,Nagoya Daikancho  Data Center
26.22853,Naha,127.68911,TELEHOUSE Naha
-1.274359,Nairobi,36.813106,Gestalt Gild
47.219568,Nantes,-1.553192,Etix Nantes #1
36.167814,Nashville,-86.777573,Nexus NREP
25.06,Nassau,-77.345,Nassau IDC
40.487206,,-74.439899,
28.634997,,77.229767,
40.761821,,-73.922882,
40.699381,Newark,-74.226379,Equinix Newark
54.958694,Newcastle,-1.547699,DC1 Cobalt data Campus
35.166667,Nicosia,33.366667,NSCY01
28.5355161,Noida,77.39102649999995,India Noida Data Cnter
52.310536,Northamptonshire,-0.836974,Node4 (Northampton)
52.955108,Nottingham,-1.14931,iomart Nottingham
46.536402,,-1.7728260000000091,
28.5411,Orlando,-81.393585,DataSite Orlando
47.902964,Orleans,1.909251,SCITIS-ZEN
34.693738,Osaka,135.502165,Osaka 5  Data Center
59.908222,Oslo,10.739136,Broadnet Colocation Oslo
45.411572,Ottawa,-75.698194,Ottawa-Headquarters
52.449314,Overijssel,6.311646,Equinix Enschede
36.314671,Oyama,139.800131,TELEHOUSE Oyama
9.021406,,-79.51149,
48.839413,Paris,2.334595,"Interxion PAR1 (Paris, France)"
-31.982453,Perth,115.86731,amcom Osborne Park
39.958175,Philadelphia,-75.154724,Keystone NAP 1
33.461234,Phoenix,-111.997375,Phoenix AZ
40.5412,Piscataway,-74.472542,24Shells NJ1
65.318146,Pitea,21.481283,Fortlax
40.438586,Pittsburgh,-79.944763,Management Science Associates
-33.93264,,25.56995,
52.404932,Poznan,16.925812,itelligence data center
18.520469,Pune,73.856621,Hostin Services Private Limited
46.795359,Quebec,-71.267624,MegaQuebec Internet Data Center
35.78552,Raleigh,-78.64263,Sentinel NC-1
37.2808333,Rasht,49.583055599999966,Negah Roshan Pars - Nrp Network
40.334507,Reading,-75.932693,IPR Reading BCC
64.135338,Reykjavik,-21.89521,Basis
56.947221,Riga,24.098511,"LVRTC Data Center ""Zakusala"""
24.676803,Riyadh,46.708374,Gateway Gulf
51.535849,Roosendaal,4.465321,"Colt Rotterdam, Roosendaal"
51.919285,Rotterdam,4.468689,BT DC Rotterdam
35.425874,Rutherford,-81.909826,Rutherford NC Data Center
38.611505,Sacramento,-121.419525,Gold Data Centers
46.071935,,4.898102,
40.771592,,-111.888189,
29.473079,,-98.511658,
37.790252,,-122.401428,
37.339592,,-121.946869,
9.927128,,-84.082012,
37.343959,,-121.948242,
-17.78879,,-63.197418,
35.686975,,-105.937799,
-23.548943,,-46.638818,
43.062096,Sapporo,141.354376,TELEHOUSE Sapporo
47.602459,Seattle,-122.349243,Adtaq Issaquah
38.268215,Sendai,140.869356,TELEHOUSE Sendai
31.224353,Shanghai,121.475916,Shanghai Pudong Data Center
53.383055,Sheffield,-1.464795,Sheffield Data Centre
22.543099,Shenzhen,114.057868,Pacnet Shenzen(SZDS1)
1.300052,Singapore,103.854446,CenturyLink SG8
51.509918,Slough,-0.595665,Equinix LD4 Slough
42.703632,Sofia,23.345947,TelecityGroup (Sofia-1)
37.199706,Springfield,-93.304138,SpringNet Underground
35.881602,,14.44904,
17.719255894595467,,-64.83787536621094,
38.664067,,-90.31311,
38.999576,Sterling,-77.405891,CenturyLink DC2
59.328987,Stockholm,18.07251,"Interxion STO1 (Stockholm, Sweden)"
35.1338417,Strovolos,33.359836599999994,LogosNet
48.777687,Stuttgart,9.180107,Centralsystems GmbH  - Stuttgart 1
-7.289166,Surabaya,112.734398,Telkomsigma Data Center Surabaya
51.555774,Swindon,-1.779718,Eduserv Swindon
-33.870416,Sydney,151.169128,Australia Sydney 1 Data Center
22.440897,,114.164743,
25.024557,Taipei,121.541748,iVisions DC2
27.953165,Tampa,-82.54303,CenturyLink TP1
35.696216,Tehran,51.422945,MahanServer
45.759722,Timisoara,21.23,LiveHosting Datacenter
35.85344,Tokyo,139.872437,CenturyLink TY6
45.065762,Torino,7.661591,"Colt Turin, Livorno"
43.723475,Toronto,-79.420166,CenturyLink TR1
43.601279,Toulouse,1.429596,NFrance Ramonville
-19.279106798451497,Townsville,146.79553985595703,On Q Townsville CBD
32.227832,Tucson,-110.943959,Involta-Tucson
61.42851,Ulvila,21.871206,Ficolo
52.091262,Utrecht,5.122748,BT DC Nieuwegein
47.141161,Vaduz,9.520168,ICT-Center Vaduz
49.188884,Vancouver,-122.816162,CenturyLink VC1
48.151428,Vienna,16.347656,"Interxion VIE1 (Vienna, Austria)"
38.900452,,-77.258778,
49.233083,Vinnytsia,28.46821699999998,DC-16
53.682679,Wakefield,-1.50135,Node4 (Leeds)
52.229676,Warsaw,21.012229,TelecityGroup Warsaw-1 (LIM)
38.889964,,-77.01004,
47.426178,Wenatchee,-120.324728,ASICSPACE Bitcoin Data Center
39.745947,Wilmington,-75.546589,RAYNET WILMINGTON DE
49.886083,Winnipeg,-97.152921,Manitoba Hydro Telecom
51.316337,Woking,-0.563736,SunGard TC3 - Woking
-34.425073,Wollongong,150.893149,Metronode Illawarra 1
49.791595,Wuerzburg,9.953572,Datacenter Mainfranken
35.443708,Yokohama,139.638026,Yokohama No. 1 Data Center
41.09832,Youngstown,-80.650648,DRS Youngstown South Datacenter
47.166192,Zug,8.515414,Lets Host Datacenter
47.394631,,8.524017,
