url,city,name
http://www.datacentermap.com/united-kingdom/birmingham-uk/dce-central-exchange.html,Birmingham UK,DCE Central Exchange
http://www.datacentermap.com/indonesia/bogor/telkomsigma-sentul.html,Bogor,Telkomsigma Data Center Sentul
http://www.datacentermap.com/colombia/bogota/nxnet-colombia.html,Bogota,NXnet Colombia
http://www.datacentermap.com/usa/idaho/boise/involta-boise.html,Boise,Involta-Boise
http://www.datacentermap.com/usa/massachusetts/boston/switchdata-boston.html,Boston,Equinix BO1
http://www.datacentermap.com/usa/massachusetts/boston/savvis-bo3.html,Boston,CenturyLink BO3
http://www.datacentermap.com/usa/massachusetts/boston/savvis-bo2.html,Boston,CenturyLink BO2
http://www.datacentermap.com/usa/massachusetts/boston/savvis-bo1.html,Boston,CenturyLink BO1
http://www.datacentermap.com/australia/brisbane/brisbane-1.html,Brisbane,Metronode Brisbane 1
http://www.datacentermap.com/belgium/brussels/colt-brussels.html,Brussels,Colt Brussels 1
http://www.datacentermap.com/belgium/brussels/interxion-brussels.html,Brussels,"Interxion BRU1 (Brussels, Belgium)"
http://www.datacentermap.com/canada/calgary/rigstar-data-center.html,Calgary,Rigstar Data Center
http://www.datacentermap.com/united-kingdom/cambridge/ocsl-managed-services.html,Cambridge,OCSL Managed Services
http://www.datacentermap.com/australia/canberra/transact-telehousing.html,Canberra,TransACT Telehousing
http://www.datacentermap.com/venezuela/caracas/gconexnet.html,Caracas,Gconex.net
http://www.datacentermap.com/usa/south-carolina/charleston/ebs-data.html,Charleston,EBS Data
http://www.datacentermap.com/morocco/casablanca/casablanca-datacenter.html,Casablanca,N+ONE Casablanca Datacenter
http://www.datacentermap.com/usa/new-york/buffalo/victory-technology-center.html,Buffalo,Victory Technology Center
http://www.datacentermap.com/egypt/cairo/middle-east-internet-exchange.html,Cairo,GPX MEIX Cairo
http://www.datacentermap.com/canada/calgary/care-factor-fa.html,Calgary,Care Factor FA
http://www.datacentermap.com/canada/calgary/dc1313.html,Calgary,1313
http://www.datacentermap.com/australia/canberra/metronode-canberra-1.html,Canberra,Metronode Canberra 1
http://www.datacentermap.com/morocco/casablanca/etix-casablanca-1.html,Casablanca,Etix Casablanca #1
http://www.datacentermap.com/united-kingdom/cheltenham/safehosts-cheltenham.html,Cheltenham,Safehosts Cheltenham
http://www.datacentermap.com/germany/chemnitz/datacenter-chemnitz.html,Chemnitz,Datacenter Chemnitz
http://www.datacentermap.com/usa/illinois/chicago/worknet-naperville.html,Chicago,Worknet Naperville
http://www.datacentermap.com/usa/ohio/columbus/ceranet-dc2.html,Columbus,CeraNet DC2
http://www.datacentermap.com/denmark/copenhagen/colt-copenhagen1.html,Copenhagen,Colt Copenhagen 1
http://www.datacentermap.com/brazil/curitiba/asaweb.html,Curitiba,ASAWEB
http://www.datacentermap.com/malaysia/cyberjaya/malaysia-cyberjaya-3.html,Cyberjaya,Malaysia Cyberjaya 3 Data Center
http://www.datacentermap.com/usa/texas/dallas/riverfront-dc5.html,Dallas,Riverfront DC5
http://www.datacentermap.com/usa/illinois/chicago/elk-grove-village.html,Chicago,ServerCentral DFT
http://www.datacentermap.com/usa/illinois/chicago/equinix-ch4.html,Chicago,Equinix CH4
http://www.datacentermap.com/usa/illinois/chicago/equinix-ch3.html,Chicago,Equinix CH3
http://www.datacentermap.com/usa/illinois/chicago/equinix-chicago-2.html,Chicago,Equinix CH2
http://www.datacentermap.com/usa/illinois/chicago/equinix-chicago.html,Chicago,Equinix CH1
http://www.datacentermap.com/usa/illinois/chicago/dupont-fabros-ch1.html,Chicago,DuPont Fabros CH1
http://www.datacentermap.com/usa/illinois/chicago/savvis-ch4.html,Chicago,CenturyLink CH4
http://www.datacentermap.com/usa/illinois/chicago/savvis-ch3.html,Chicago,CenturyLink CH3
http://www.datacentermap.com/usa/illinois/chicago/savvis-ch2.html,Chicago,CenturyLink CH2
http://www.datacentermap.com/usa/ohio/columbus/savvis-cl1.html,Columbus,CenturyLink CL1
http://www.datacentermap.com/denmark/copenhagen/interxion-copenhagen.html,Copenhagen,Interxion CPH1 (Copenhagen)
http://www.datacentermap.com/malaysia/cyberjaya/cyberjaya-2.html,Cyberjaya,Malaysia Cyberjaya 2 Data Center
http://www.datacentermap.com/usa/texas/dallas/switch-data-dallas1.html,Dallas,Equinix DA4
http://www.datacentermap.com/usa/texas/dallas/switch-data-dallas3.html,Dallas,Equinix DA3
http://www.datacentermap.com/usa/texas/dallas/equinix-da2.html,Dallas,Equinix DA2
http://www.datacentermap.com/usa/texas/dallas/equinix-dallas.html,Dallas,Equinix DA1
http://www.datacentermap.com/usa/texas/dallas/savvis-dl2.html,Dallas,CenturyLink DL2
http://www.datacentermap.com/usa/texas/dallas/savvis-dl1.html,Dallas,CenturyLink DL1
http://www.datacentermap.com/usa/texas/dallas/viawest-plano-1.html,Dallas,ViaWest - Plano 1
http://www.datacentermap.com/usa/colorado/denver/icelab-networks.html,Denver,Icelab Networks
http://www.datacentermap.com/usa/iowa/des-moines/westown-communications-center.html,Des Moines,Westown Communications Center
http://www.datacentermap.com/usa/colorado/denver/savvis-dn3.html,Denver,CenturyLink DN3
http://www.datacentermap.com/usa/colorado/denver/savvis-dn2.html,Denver,CenturyLink DN2
http://www.datacentermap.com/usa/colorado/denver/savvis-dn1.html,Denver,CenturyLink DN1
http://www.datacentermap.com/usa/michigan/detroit/riverfront-dc3.html,Detroit,Riverfront DC3
http://www.datacentermap.com/isle-of-man/douglas/continent8-isle-of-man.html,Douglas,Continent 8 Isle of Man
http://www.datacentermap.com/usa/michigan/detroit/colomichigan.html,Detroit,Riverfront DC1
http://www.datacentermap.com/france/dreux/dch1.html,Dreux,DCH1
http://www.datacentermap.com/united-arab-emirates/dubai/equinix-dx1.html,Dubai,Equinix Dubai (DX1)
http://www.datacentermap.com/ireland/dublin/telecitygroup-dub4.html,Dublin,TelecityGroup DUB4
