description,title,country,region,postal code,locality,extend address,name
"
	Net4 Data Center Kolkatta is located in the area Kolkata, India, and the colocation data center is not  carrier neutral. The data center was last updated on 22-03-2010.",Net4 Data Center Kolkatta,India,West Bengal,700069,Kolkata,Net4 Data Center Kolkatta,Net4india
"
	Parsec Data Center is located in the area Billings, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 13-06-2013.",Parsec Data Center,USA,Montana,59102,Billings,Parsec Data Center,Parsec Data Management
"
	Net4 Data Center Mumbai is located in the area Mumbai, India, and the colocation data center is not  carrier neutral. The data center was last updated on 06-04-2010.",Net4 Data Center Mumbai,India,Maharashtra,400018,Mumbai,Net4 Data Center Mumbai,Net4india
"
	nGenx - Lafayette is located in the area Indianapolis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 23-03-2010.",nGenx - Lafayette,USA,Indiana,47909,Lafayette,nGenx - Lafayette,nGenX
"
	nGenX - Louisville, KY is located in the area Louisville, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 23-03-2010.","nGenX - Louisville, KY",USA,Kentucky,40204,Louisville,"nGenX - Louisville, KY",nGenX
"
	Net4 Data Center Pune is located in the area Pune, India, and the colocation data center is not  carrier neutral. The data center was last updated on 06-04-2010.",Net4 Data Center Pune,India,Maharashtra,411005,Pune,Net4 Data Center Pune,Net4india
"
	DC74 Datacenters is located in the area Charlotte, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-07-2013.",DC74 Datacenters,USA,North Carolina,28208,Charlotte,DC74 Datacenters,DC74
"
	HITS Datacenter is located in the area Nantes, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 20-09-2013.",HITS Datacenter,France,,44800,Saint-Herblain,HITS Datacenter,NeoCenter Ouest by HITS Datacenter
"
	Kedia Data Center is located in the area Hyderabad, India, and the colocation data center is not  carrier neutral. The data center was last updated on 26-03-2010.",Kedia Data Center,India,AP,500003,Secunderabad,Kedia Data Center,Kedia Technologies Limited
"
	Datacenter Locaweb JK is located in the area Sao Paulo (São Paulo), Brazil (Brasil), and the colocation data center is  carrier neutral. The data center was last updated on 26-03-2010.",Datacenter Locaweb JK,Brazil,São Paulo,04543-900,São Paulo,Datacenter Locaweb JK,Locaweb S/A
"
	Datacenter Locaweb Itapaiuna is located in the area Sao Paulo (São Paulo), Brazil (Brasil), and the colocation data center is  carrier neutral. The data center was last updated on 26-03-2010.",Datacenter Locaweb Itapaiuna,Brazil,São Paulo,05707-001,Sao Paulo,Datacenter Locaweb Itapaiuna,Locaweb S/A
"
	CX2 Data Center is located in the area Cyberjaya, Malaysia, and the colocation data center is  carrier neutral. The data center was last updated on 30-03-2010.",CX2 Data Center,Malaysia,Selangor,63000,Cyberjaya,CX2 Data Center,CSF Group
"
	Cogent Orange County is located in the area Irvine, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 30-07-2012.",Cogent Orange County,USA,California,92805,Anaheim,Cogent Orange County,"Cogent Communications, Inc."
"
	Cogent Boca Raton is located in the area Boca Raton, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-01-2012.",Cogent Boca Raton,USA,Florida,33431,Boca Raton,Cogent Boca Raton,"Cogent Communications, Inc."
"
	Internetworking Atlantic Inc is located in the area Halifax, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 30-03-2010.",Internetworking Atlantic Inc,Canada,NS,B3K 1L1,Halifax,,Internetworking Atlantic Inc
"
	VTEL Jordan Data Center is located in the area Amman (Ammann), Jordan (Hashemite Kingdom of Jordan), and the colocation data center is not  carrier neutral. The data center was last updated on 04-04-2010.",VTEL Jordan Data Center,Jordan,,P.O BOX 2833 Amman 11181,Amman,VTEL Jordan Data Center,VTEL Jordan
"
	TusHosting is located in the area Ljubljana, Slovenia (Republika Slovenija), and the colocation data center is not  carrier neutral. The data center was last updated on 01-04-2010.",TusHosting,Slovenia,,1231,Ljubljana-Crnuce,TusHosting,Tusmobil d.o.o.
"
	TulsaConnect (DC2) Oklahoma is located in the area Tulsa, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 03-03-2012.",TulsaConnect (DC2) Oklahoma,USA,Oklahoma,74119,Tulsa,TulsaConnect (DC2) Oklahoma,TulsaConnect
"
	iNES Data Center is located in the area Bucharest, Romania, and the colocation data center is not  carrier neutral. The data center was last updated on 06-04-2010.",iNES Data Center,Romania,,014135,Bucharest,iNES Data Center,iNES Group
"
	Ikoula Data Center 01 (IKC01) is located in the area Reims, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 13-04-2010.",Ikoula Data Center 01 (IKC01),France,,51100,Reims,Ikoula Data Center 01 (IKC01),Ikoula
"
	Constellate LA is located in the area Los Angeles, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 08-04-2010.",Constellate LA,USA,California,90010,los angeles,Constellate LA,Constellate
"
	Lauttasaari is located in the area Helsinki, Finland (Suomi), and the colocation data center is  carrier neutral. The data center was last updated on 15-04-2010.",Lauttasaari,Finland,,00130,Helsinki,Lauttasaari,Sigmatic Oy
"
	SBP1 is located in the area San Luis Obispo, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 15-04-2010.",SBP1,USA,California,93401,San Luis Obispo,SBP1,Digital West Networks
"
	Mount Pleasant is located in the area Gibraltar, Gibraltar, and the colocation data center is not  carrier neutral. The data center was last updated on 22-04-2010.",Mount Pleasant,Gibraltar,,N/A,Gibraltar,Mount Pleasant,Gibtelecom
"
	Baltneta is located in the area Vilnius, Lithuania (Republic of Lithuania), and the colocation data center is  carrier neutral. The data center was last updated on 24-10-2012.",Baltneta,Lithuania,,03209,Vilnius,Baltneta,"Baltnetos komunikacijos, UAB"
"
	Pirsenteret is located in the area Trondheim, Norway (Norge).",Pirsenteret,,,,,,
"
	ADDIX DC2 is located in the area Kiel, Germany (Deutschland), and the colocation data center is not  carrier neutral. The data center was last updated on 19-04-2010.",ADDIX DC2,Germany,,24114,Kiel,ADDIX DC2,ADDIX Internet Services GmbH
"
	IC2NET Tustin Data Center is located in the area Tustin, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 05-05-2015.",IC2NET Tustin Data Center,USA,California,92780,Tustin,IC2NET Tustin Data Center,"IC2 Holdings, Inc."
"
	Nethome DataCenter 2 is located in the area Trondheim, Norway (Norge), and the colocation data center is  carrier neutral. The data center was last updated on 23-04-2010.",Nethome DataCenter 2,Norway,,7010,Trondheim,Nethome DataCenter 2,ITsjefen AS
"
	Expedient Indianapolis is located in the area Indianapolis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 28-04-2010.",Expedient Indianapolis,USA,Indiana,46032,Indianapolis,Expedient Indianapolis,Expedient Data Centers
"
	Clear Rate Battle Creek POP is located in the area Battle Creek, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 27-04-2010.",Clear Rate Battle Creek POP,USA,Michigan,49017,Battle Creek,Clear Rate Battle Creek POP,Clear Rate Communications
"
	NDS Sheffield is located in the area Sheffield, United Kingdom (UK), and the colocation data center is not  carrier neutral. The data center was last updated on 03-05-2010.",NDS Sheffield,United Kingdom,South Yorkshire,S6 2FH,Sheffield,NDS Sheffield,Northern Data Solutions Ltd
"
	DataCenter Fryslân is located in the area Leeuwarden, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 02-05-2010.",DataCenter Fryslân,The Netherlands,Friesland,8914BC,Leeuwarden,DataCenter Fryslân,DataCenter Fryslân BV
"
	RACK59 is located in the area Oklahoma City, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 11-05-2010.",RACK59,USA,Oklahoma,73127,Oklahoma City,,RACK59
"
	Swiss Data Center is located in the area Uri, Switzerland (Schweiz), and the colocation data center is  carrier neutral. The data center was last updated on 10-05-2010.",Swiss Data Center,Switzerland,,6474,Amsteg,Swiss Data Center,Swiss Data Safe AG
"
	JT - Five Oaks DC is located in the area St Saviour, Jersey (Bailiwick of Jersey), and the colocation data center is not  carrier neutral. The data center was last updated on 19-10-2011.",JT - Five Oaks DC,Jersey,,JE2 7GS,St Saviour,JT - Five Oaks DC,JT
"
	Tyler Vault.com is located in the area Tyler, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 13-05-2010.",Tyler Vault.com,USA,Texas,75702,Tyler,,Tyler Vault.com
"
	JT- new Feb 2011 is located in the area St Saviour, Jersey (Bailiwick of Jersey), and the colocation data center is not  carrier neutral. The data center was last updated on 19-10-2011.",JT- new Feb 2011,Jersey,,JE2 7QT,St Saviour,JT- new Feb 2011,JT
"
	Rechenzentrum Zuerich is located in the area Zürich, Switzerland (Schweiz), and the colocation data center is  carrier neutral. The data center was last updated on 19-10-2011.",Rechenzentrum Zuerich,Switzerland,,8052,Zuerich,Rechenzentrum Zuerich,NETBONE DIGITAL AG
"
	JT - First Tower Lane DC is located in the area St Peter Port, Guernsey (Bailiwick of Guernsey), and the colocation data center is not  carrier neutral. The data center was last updated on 30-05-2012.",JT - First Tower Lane DC,Guernsey,,GY1 2RZ,St Peter Port,JT - First Tower Lane DC,JT
"
	First National Technology Solutions is located in the area Omaha, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-05-2010.",First National Technology Solutions,USA,Nebraska,68197,Omaha,,First National Technology Solutions
"
	JT - St Georges Hall is located in the area St Peter Port, Guernsey (Bailiwick of Guernsey), and the colocation data center is not  carrier neutral. The data center was last updated on 30-05-2012.",JT - St Georges Hall,Guernsey,,GY1 2BH,St Peter Port,JT - St Georges Hall,JT
"
	JT - Central DC is located in the area St Helier, Jersey (Bailiwick of Jersey), and the colocation data center is not  carrier neutral. The data center was last updated on 19-10-2011.",JT - Central DC,Jersey,,JE2 4WR,St Helier,JT - Central DC,JT
"
	VeriTeknik Sunucu Merkezi Ankara is located in the area Ankara, Turkey (Türkiye), and the colocation data center is  carrier neutral. The data center was last updated on 16-10-2015.",VeriTeknik Sunucu Merkezi Ankara,Turkey,,06770,Ankara,VeriTeknik Sunucu Merkezi Ankara,VeriTeknik Bilisim Ltd.
"
	JT - East DC is located in the area Grouville, Jersey (Bailiwick of Jersey), and the colocation data center is not  carrier neutral. The data center was last updated on 19-10-2011.",JT - East DC,Jersey,,JE3 9AR,Grouville,JT - East DC,JT
"
	ADP DataCenter Atieh Dadeh Pardaz is located in the area Tehran, Iran, and the colocation data center is not  carrier neutral. The data center was last updated on 30-04-2011.",ADP DataCenter Atieh Dadeh Pardaz,Iran,Tehran,1991916713,Tehran,ADP DataCenter Atieh Dadeh Pardaz,Atieh Dadeh Pardaz
"
	Data Center BEMOBILE is located in the area Kiev, Ukraine (Ukrayina), and the colocation data center is not  carrier neutral. The data center was last updated on 25-05-2010.",Data Center BEMOBILE,Ukraine,,04073,Kiev,Data Center BEMOBILE,BEMOBAIL
"
	Somerset NJ III is located in the area New Brunswick, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 27-05-2010.",Somerset NJ III,USA,New Jersey,08873,Somerset,Somerset NJ III,"Datapipe, Inc."
"
	TelecityGroup DUB3 is located in the area Dublin, Ireland (Éire), and the colocation data center is  carrier neutral. The data center was last updated on 01-10-2015.",TelecityGroup DUB3,Ireland,,+ 353 1 4611200,Dublin,TelecityGroup DUB3,TelecityGroup
"
	Quickline Datacenter is located in the area Basel, Switzerland (Schweiz), and the colocation data center is  carrier neutral. The data center was last updated on 24-05-2016.",Quickline Datacenter,Switzerland,Switzerland,4142,Munchenstein,Quickline Datacenter,Quickline Business AG
"
	Ehiweb.it is located in the area Bologna, Italy (Italia), and the colocation data center is not  carrier neutral. The data center was last updated on 19-01-2012.",Ehiweb.it,Italy,,40127,Bologna,,Ehiweb.it
"
	AtaCenter is located in the area Carcassonne, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 07-03-2013.",AtaCenter,France,Aude,11000,Carcassonne,AtaCenter,Ataraxie
"
	D3 Toronto IDC is located in the area Toronto, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 06-06-2010.",D3 Toronto IDC,Canada,Ontario,M3K1E2,Toronto,D3 Toronto IDC,D3 Networks Inc.
"
	Wateen Hosted Data Center is located in the area Lahore, Pakistan (Islamic Republic of Pakistan), and the colocation data center is  carrier neutral. The data center was last updated on 02-06-2010.",Wateen Hosted Data Center,Pakistan,Punjab,54500,Lahore,Wateen Hosted Data Center,Wateen Telecom
"
	Cirrus9 - DC2 is located in the area Saint John, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 13-01-2017.",Cirrus9 - DC2,Canada,New Brunswick,E2L 2B1,Saint John,Cirrus9 - DC2,Cirrus9 Inc
"
	Philcade Data Center is located in the area Tulsa, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 06-01-2011.",Philcade Data Center,USA,Oklahoma,74103,Tulsa,Philcade Data Center,Kanbar Properties
"
	TelecityGroup HEL1 Hiomo is located in the area Helsinki, Finland (Suomi), and the colocation data center is  carrier neutral. The data center was last updated on 22-10-2014.",TelecityGroup HEL1 Hiomo,Finland,,00380,Helsinki,TelecityGroup HEL1 Hiomo,TelecityGroup Finland
"
	LBJ Data Center is located in the area Dallas, USA (America).",LBJ Data Center,,,,,,
"
	WebDC is located in the area Moscow, Russia, and the colocation data center is not  carrier neutral. The data center was last updated on 04-06-2010.",WebDC,Russia,,141400,Himki,,WebDC
"
	Delme Place is located in the area Portsmouth, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 19-01-2012.",Delme Place,United Kingdom,Hampshire,PO16 8UX,Fareham,Delme Place,ServerHouse Ltd
"
	Walled Garden is located in the area Portsmouth, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 19-01-2012.",Walled Garden,United Kingdom,Hampshire,PO16 8AB,Fareham,Walled Garden,ServerHouse Ltd
"
	West Barn is located in the area Portsmouth, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 19-01-2012.",West Barn,United Kingdom,Hampshire,PO16 8UT,Fareham,West Barn,ServerHouse Ltd
"
	Cyber 2 Data Center is located in the area Jakarta (Djakarta), Indonesia, and the colocation data center is  carrier neutral. The data center was last updated on 09-11-2010.",Cyber 2 Data Center,Indonesia,DKI Jakarta,12950,Jakarta,Cyber 2 Data Center,PT CBN Nusantara
"
	Go4Hosting is located in the area New Delhi, India, and the colocation data center is not  carrier neutral. The data center was last updated on 27-02-2014.",Go4Hosting,India,Delhi,201305,Noida,,Go4Hosting
"
	Go4Hosting Jaipur is located in the area Jaipur, India, and the colocation data center is  carrier neutral. The data center was last updated on 27-02-2014.",Go4Hosting Jaipur,India,Rajasthan,302022,Jaipur,Go4Hosting Jaipur,Go4Hosting
"
	CentriLogic is located in the area Mississauga, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 22-03-2016.",CentriLogic,Canada,Ontario,L4Z 1H8,Mississauga,CentriLogic,Centrilogic
"
	Chattanooga is located in the area Chattanooga, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 15-06-2010.",Chattanooga,USA,Tennessee,37404,Chattanooga,Chattanooga,Peacecom
"
	Latisys-Ashburn is located in the area Ashburn, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-06-2010.",Latisys-Ashburn,USA,Virginia,20147,Ashburn,Latisys-Ashburn,Latisys
"
	Telsist Communications is located in the area Montreal, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 11-02-2014.",Telsist Communications,Canada,QC,H8T 3J8,Montreal,,Telsist Communications
"
	LTT Internet Data Center is located in the area Tripoli, Libya (Libyan Arab Jamahiriya), and the colocation data center is not  carrier neutral. The data center was last updated on 23-06-2010.",LTT Internet Data Center,Libya,,91612,Tripoli,LTT Internet Data Center,Libya Telecom and Technology
"
	Fiberhub LAS1 is located in the area Las Vegas, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 23-04-2012.",Fiberhub LAS1,USA,Nevada,89119,Las Vegas,Fiberhub LAS1,Fiberhub
"
	Ultra Green Center is located in the area Hickory, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 22-01-2011.",Ultra Green Center,USA,North Carolina,28658,Newton,Ultra Green Center,Crackers
"
	Datatech Hosting Tampa is located in the area Tampa, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 15-04-2015.",Datatech Hosting Tampa,USA,Florida,33634,Tampa,Datatech Hosting Tampa,Data-Tech
"
	EscapeNet is located in the area Melbourne (Victoria), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 27-06-2010.",EscapeNet,Australia,VIC,3000,North Melbourne,,EscapeNet
"
	Hong Kong (Global Gateway) is located in the area Tsuen Wan, Hong Kong (Hong Kong, SAR of China), and the colocation data center is  carrier neutral. The data center was last updated on 29-06-2010.",Hong Kong (Global Gateway),Hong Kong,Hong Kong,NA,Tsuen Wan,Hong Kong (Global Gateway),Diyixian.com Limited
"
	Beijing (Oriental Plaza) is located in the area Beijing, China, and the colocation data center is  carrier neutral. The data center was last updated on 29-06-2010.",Beijing (Oriental Plaza),China,,100738,Beijing,Beijing (Oriental Plaza),Diyixian.com Limited
"
	Cavalier Innsbrook Data Center is located in the area Richmond, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 28-06-2010.",Cavalier Innsbrook Data Center,USA,Virginia,23060,Richmond,Cavalier Innsbrook Data Center,Cavalier
"
	FIBERTOWN - Bryan, Texas is located in the area Bryan, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-06-2010.","FIBERTOWN - Bryan, Texas",USA,Texas,77803,Bryan,"FIBERTOWN - Bryan, Texas",FIBERTOWN
"
	Shanghai (Pudong) is located in the area Shanghai, China, and the colocation data center is  carrier neutral. The data center was last updated on 29-06-2010.",Shanghai (Pudong),China,,200081,Shanghai,Shanghai (Pudong),Diyixian.com Limited
"
	Aeneas Internet & Telephone is located in the area Jackson, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 18-01-2012.",Aeneas Internet & Telephone,USA,Tennessee,38301,Jackson,,Aeneas Internet & Telephone
"
	IXTech Main Data Center is located in the area Hong Kong, Hong Kong (Hong Kong, SAR of China), and the colocation data center is  carrier neutral. The data center was last updated on 23-07-2010.",IXTech Main Data Center,Hong Kong,,N/A,"Kwai Chung, N.T.",IXTech Main Data Center,IXTech Limited
"
	TCCT Empire Tower Data Center is located in the area Bangkok, Thailand (Ratcha Anachak Thai), and the colocation data center is  carrier neutral. The data center was last updated on 19-12-2013.",TCCT Empire Tower Data Center,Thailand,Sathorn,10120,Bangkok,TCCT Empire Tower Data Center,"T.C.C.Technology Co.,Ltd."
"
	TCCT Bangna Data Center (BNDC) is located in the area Bangkok, Thailand (Ratcha Anachak Thai), and the colocation data center is  carrier neutral. The data center was last updated on 03-02-2014.",TCCT Bangna Data Center (BNDC),Thailand,,10260,Bangkok,TCCT Bangna Data Center (BNDC),"T.C.C.Technology Co.,Ltd."
"
	Kozma DC is located in the area Budapest, Hungary, and the colocation data center is not  carrier neutral. The data center was last updated on 06-07-2010.",Kozma DC,Hungary,,1108,Budapest,Kozma DC,Invitel Telecommunication Inc.
"
	Hosting UK - North Wales DC is located in the area North Wales, United Kingdom (UK), and the colocation data center is not  carrier neutral. The data center was last updated on 14-07-2010.",Hosting UK - North Wales DC,United Kingdom,Denbighshire,LL17 0LJ,St Asaph,Hosting UK - North Wales DC,Hosting UK
"
	Welltech Centre is located in the area Hong Kong, Hong Kong (Hong Kong, SAR of China).",Welltech Centre,,,,,,
"
	TierPoint Philadelphia- Navy Yard is located in the area Philadelphia, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 23-02-2017.",TierPoint Philadelphia- Navy Yard,USA,Pennsylvania,Philadelphia,Pennsylvania,TierPoint Philadelphia- Navy Yard,TierPoint
"
	OneNeck IT Solutions, A TDS Company is located in the area Des Moines, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 28-09-2015.","OneNeck IT Solutions, A TDS Company",USA,Iowa,50263,Des Moines,"OneNeck IT Solutions, A TDS Company",OneNeck IT Solutions
"
	OneNeck IT Solutions is located in the area Cedar Falls, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 28-09-2015.",OneNeck IT Solutions,USA,Iowa,50613,Cedar Falls,,OneNeck IT Solutions
"
	OneNeck IT Solutions, A TDS Company is located in the area Madison, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 28-09-2015.","OneNeck IT Solutions, A TDS Company",USA,Wisconsin,53711,Madison,"OneNeck IT Solutions, A TDS Company",OneNeck IT Solutions
"
	Datatelekom.com is located in the area Istanbul, Turkey (Türkiye), and the colocation data center is  carrier neutral. The data center was last updated on 10-07-2010.",Datatelekom.com,Turkey,Sisli,34000,Istanbul,Datatelekom.com,Datatelekom Telekomunikasyon Hizmetleri Ltd Sti
"
	AFRANET is located in the area Tehran, Iran, and the colocation data center is not  carrier neutral. The data center was last updated on 12-07-2010.",AFRANET,Iran,Tehran,1959836111,Tehran,,AFRANET
"
	Comarch Data Center is located in the area Warsaw (Warszawa), Poland (Polska), and the colocation data center is not  carrier neutral. The data center was last updated on 12-07-2010.",Comarch Data Center,Poland,mazowieckie,02-844,Warsaw,Comarch Data Center,Comarch
"
	QTS Richmond is located in the area Richmond, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 04-10-2010.",QTS Richmond,USA,Virginia,23150,Richmond,QTS Richmond,QTS (Quality Technology Services)
"
	QTS Jersey City is located in the area Hudson County, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 04-10-2010.",QTS Jersey City,USA,New Jersey,07302,Jersey City,QTS Jersey City,QTS (Quality Technology Services)
"
	QTS Lenexa is located in the area Kansas City KS, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 04-10-2010.",QTS Lenexa,USA,Kansas,66215,Lenexa,QTS Lenexa,QTS (Quality Technology Services)
"
	QTS Witchita is located in the area Wichita, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 04-10-2010.",QTS Witchita,USA,Kansas,67202,Wichita,QTS Witchita,QTS (Quality Technology Services)
"
	Onyx Group Edinburgh Data Centre is located in the area Edinburgh (Scotland), United Kingdom (UK), and the colocation data center is not  carrier neutral. The data center was last updated on 25-06-2012.",Onyx Group Edinburgh Data Centre,United Kingdom,,EH12 9LB,Edinburgh,Onyx Group Edinburgh Data Centre,Onyx Group
"
	Taipei (Neihu) is located in the area Taipei, Taiwan (Formosa), and the colocation data center is  carrier neutral. The data center was last updated on 13-07-2010.",Taipei (Neihu),Taiwan,,114,Taipei,Taipei (Neihu),Diyixian.com Limited
"
	QTS Overland Park is located in the area Kansas City KS, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 04-10-2010.",QTS Overland Park,USA,Kansas,66213,Overland Park,QTS Overland Park,QTS (Quality Technology Services)
"
	Untangled Technology is located in the area Canton, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 16-07-2010.",Untangled Technology,USA,Ohio,44702,Canton,,Untangled Technology
"
	Ch-center is located in the area Bucharest, Romania, and the colocation data center is not  carrier neutral. The data center was last updated on 18-07-2013.",Ch-center,Romania,Ilfov,077040,Chiajna,Ch-center,Ch-net S.R.L.
