description,title,country,region,postal code,locality,extend address,name
"
	Bharti Airtel - Chennai DC is located in the area Chennai, India, and the colocation data center is  carrier neutral. The data center was last updated on 12-03-2010.",Bharti Airtel - Chennai DC,India,Tamilnadu,603103,Chennai,Bharti Airtel - Chennai DC,Bharti Airtel Ltd.
"
	Bharti Airtel - Bangalore DC is located in the area Bangalore (Bengaluru), India, and the colocation data center is  carrier neutral. The data center was last updated on 12-03-2010.",Bharti Airtel - Bangalore DC,India,Karnataka,560066,Bangalore,Bharti Airtel - Bangalore DC,Bharti Airtel Ltd.
"
	Omnilogic Data Center is located in the area Bucharest, Romania, and the colocation data center is  carrier neutral. The data center was last updated on 21-07-2010.",Omnilogic Data Center,Romania,,075100,Otopeni,Omnilogic Data Center,Omnilogic
"
	Bharti Airtel - Noida Sector-62 DC is located in the area New Delhi, India, and the colocation data center is  carrier neutral. The data center was last updated on 12-03-2010.",Bharti Airtel - Noida Sector-62 DC,India,NCR,201307,Noida,Bharti Airtel - Noida Sector-62 DC,Bharti Airtel Ltd.
"
	DC Tajov is located in the area Banska Bystrica, Slovakia (Slovak Republic), and the colocation data center is not  carrier neutral. The data center was last updated on 11-05-2012.",DC Tajov,Slovakia,,976 34,Tajov,DC Tajov,Slovak Telekom
"
	DC Bzenov is located in the area Presov, Slovakia (Slovak Republic), and the colocation data center is not  carrier neutral. The data center was last updated on 11-05-2012.",DC Bzenov,Slovakia,,082 42,Bzenov,DC Bzenov,Slovak Telekom
"
	ESDS - Fully Managed Data Center is located in the area Nashik, India, and the colocation data center is not  carrier neutral. The data center was last updated on 05-06-2010.",ESDS - Fully Managed Data Center,India,Maharashtra,422 007,Nashik,ESDS - Fully Managed Data Center,ESDS Software Solution Pvt. Ltd.
"
	DC Jarosova is located in the area Bratislava, Slovakia (Slovak Republic), and the colocation data center is not  carrier neutral. The data center was last updated on 11-05-2012.",DC Jarosova,Slovakia,,830 08,Bratislava,DC Jarosova,Slovak Telekom
"
	Bharti Airtel - Pune DC is located in the area Pune, India, and the colocation data center is  carrier neutral. The data center was last updated on 12-03-2010.",Bharti Airtel - Pune DC,India,Maharashtra,411014,Pune,Bharti Airtel - Pune DC,Bharti Airtel Ltd.
"
	DC Kosice is located in the area Kosice, Slovakia (Slovak Republic), and the colocation data center is not  carrier neutral. The data center was last updated on 11-05-2012.",DC Kosice,Slovakia,,043 06,Kosice,DC Kosice,Slovak Telekom
"
	Bharti Airtel - Noida Phase II DC is located in the area New Delhi, India, and the colocation data center is  carrier neutral. The data center was last updated on 12-03-2010.",Bharti Airtel - Noida Phase II DC,India,NCR,201301,Noida,Bharti Airtel - Noida Phase II DC,Bharti Airtel Ltd.
"
	IP eXchange Melbourne IDC is located in the area Melbourne (Victoria), Australia, and the colocation data center is not  carrier neutral. The data center was last updated on 15-03-2010.",IP eXchange Melbourne IDC,Australia,VIC,3000,Melbourne,IP eXchange Melbourne IDC,IP Exchange
"
	Vtesse Locate is located in the area Hertford, United Kingdom (UK), and the colocation data center is not  carrier neutral. The data center was last updated on 15-03-2010.",Vtesse Locate,United Kingdom,Hertfordshire,SG13 7DT,Hertford,Vtesse Locate,Vtesse Networks Ltd
"
	HostExpress is located in the area Adelaide (South Australia), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 25-09-2012.",HostExpress,Australia,South Australia,5000,Adelaide,,HostExpress
"
	Talex Data Center is located in the area Poznan, Poland (Polska), and the colocation data center is not  carrier neutral. The data center was last updated on 18-03-2010.",Talex Data Center,Poland,,61-619,Poznan,Talex Data Center,Talex SA
"
	BT Services Paris is located in the area Paris, France (Française), and the colocation data center is not  carrier neutral. The data center was last updated on 18-03-2010.",BT Services Paris,France,,75013,Paris,BT Services Paris,BT Services
"
	NumeriParc Télépôle is located in the area Roanne, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 02-10-2010.",NumeriParc Télépôle,France,,42300,Roanne,NumeriParc Télépôle,NUMERIPARC TELPOLE
"
	Net4 Data Center Delhi is located in the area New Delhi, India, and the colocation data center is not  carrier neutral. The data center was last updated on 22-03-2010.",Net4 Data Center Delhi,India,Delhi,110029,New Delhi,Net4 Data Center Delhi,Net4india
"
	Net4 Data Center Bangalore is located in the area Bangalore (Bengaluru), India, and the colocation data center is not  carrier neutral. The data center was last updated on 22-03-2010.",Net4 Data Center Bangalore,India,Karnataka,560 001,Bangalore,Net4 Data Center Bangalore,Net4india
"
	Net4 Data Center Chennai is located in the area Chennai, India, and the colocation data center is not  carrier neutral. The data center was last updated on 06-04-2010.",Net4 Data Center Chennai,India,Tamilnadu,600006,Chennai,Net4 Data Center Chennai,Net4india
