description,title,country,region,postal code,locality,extend address,name
"
	Turnkey Internet Data Center NY is located in the area Albany, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-04-2017.",Turnkey Internet Data Center NY,USA,New York,12110,Latham,Turnkey Internet Data Center NY,"Turnkey Internet, Inc."
"
	Netstyle is located in the area Tel Aviv, Israel, and the colocation data center is not  carrier neutral. The data center was last updated on 17-11-2016.",Netstyle,Israel,,74036,Ness-Tziona,Netstyle,Net-Style Atarim Ltd
"
	Volta Data Centres is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 02-06-2016.",Volta Data Centres,United Kingdom,,EC1V0AB,London,,Volta Data Centres
"
	MKDC-0 - Milton Keynes is located in the area Milton Keynes, United Kingdom (UK), and the colocation data center is not  carrier neutral. The data center was last updated on 01-02-2013.",MKDC-0 - Milton Keynes,United Kingdom,Bucks,MK11 3EJ,Milton Keynes,MKDC-0 - Milton Keynes,nuco technologies ltd
"
	TELEHOUSE Frankfurt is located in the area Frankfurt (Frankfurt am Main), Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 22-06-2015.",TELEHOUSE Frankfurt,Germany,,60326,Frankfurt,TELEHOUSE Frankfurt,TELEHOUSE Europe
"
	OnRamp RTP 1 is located in the area Raleigh, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 20-02-2015.",OnRamp RTP 1,USA,North Carolina,27617,Raleigh,OnRamp RTP 1,OnRamp
"
	Telx PRT1 - Portland is located in the area Portland, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-10-2013.",Telx PRT1 - Portland,USA,Oregon,97124,Hillsboro,Telx PRT1 - Portland,Digital Realty
"
	Telx SCL2 - Santa Clara is located in the area Santa Clara, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-10-2013.",Telx SCL2 - Santa Clara,USA,California,95051,Santa Clara,Telx SCL2 - Santa Clara,Digital Realty
"
	Telx SEA1 - Seattle is located in the area Seattle, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-10-2013.",Telx SEA1 - Seattle,USA,Washington,98168,Tuckwila,Telx SEA1 - Seattle,Digital Realty
"
	Telx NJR2 - Clifton is located in the area Hudson County, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-10-2013.",Telx NJR2 - Clifton,USA,New Jersey,07014,Clifton,Telx NJR2 - Clifton,Digital Realty
