description,title,country,region,postal code,locality,extend address,name
"
	Electromagnetica Business Park is located in the area Bucharest, Romania.",Electromagnetica Business Park,,,,,,
"
	ECC Solutions II is located in the area Cairo (Al Qahirah), Egypt, and the colocation data center is  carrier neutral. The data center was last updated on 11-11-2008.",ECC Solutions II,Egypt,,11461,Giza,ECC Solutions II,ECC Solutions
"
	ECC Solutions I is located in the area 6 October City, Egypt, and the colocation data center is  carrier neutral. The data center was last updated on 11-11-2008.",ECC Solutions I,Egypt,,12581,6 October,ECC Solutions I,ECC Solutions
"
	GO Marsa is located in the area Marsa, Malta, and the colocation data center is  carrier neutral. The data center was last updated on 11-08-2008.",GO Marsa,Malta,,MRS1501,Marsa,GO Marsa,GO plc.
"
	The Bunker - Ash Data Centre is located in the area Kent, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 11-02-2011.",The Bunker - Ash Data Centre,United Kingdom,,CT13 0PL,"Sandwich, Kent",The Bunker - Ash Data Centre,The Bunker
"
	Coreix Limited is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 05-07-2011.",Coreix Limited,United Kingdom,,EN1 1TX,Enfield,,Coreix Limited
"
	CityNet Data Center is located in the area Ramadan City, Egypt, and the colocation data center is  carrier neutral. The data center was last updated on 31-03-2015.",CityNet Data Center,Egypt,Cairo,44653,Ramadan Tenth,CityNet Data Center,CityNet Telecom
"
	Picenodatacentre I is located in the area Ascoli Piceno, Italy (Italia), and the colocation data center is not  carrier neutral. The data center was last updated on 11-02-2011.",Picenodatacentre I,Italy,AP,63100,Ascoli Piceno,Picenodatacentre I,TopneT Telecomunicazioni srl
"
	BMIT DCH Data Centre is located in the area Qormi, Malta, and the colocation data center is  carrier neutral. The data center was last updated on 18-03-2014.",BMIT DCH Data Centre,Malta,,QRM4000,Qormi,BMIT DCH Data Centre,BMIT Ltd
"
	The Bunker - Newbury Data Centre is located in the area Berkshire, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 11-02-2011.",The Bunker - Newbury Data Centre,United Kingdom,,RG19 6HN,Newbury,The Bunker - Newbury Data Centre,The Bunker
"
	DanDomain is located in the area Randers, Denmark (Danmark), and the colocation data center is  carrier neutral. The data center was last updated on 18-09-2008.",DanDomain,Denmark,,8920,Randers NV,DanDomain,Dandomain A/S
"
	Louhi Datacenter Espoo is located in the area Helsinki, Finland (Suomi), and the colocation data center is not  carrier neutral. The data center was last updated on 25-11-2008.",Louhi Datacenter Espoo,Finland,,02600,Espoo,Louhi Datacenter Espoo,Louhi Networks Oy
"
	FDCservers.net  Zlin EU is located in the area Zlin, Czech Republic, and the colocation data center is not  carrier neutral. The data center was last updated on 12-06-2012.",FDCservers.net  Zlin EU,Czech Republic,,76001,Zlin,FDCservers.net  Zlin EU,FDCservers.net LLC
"
	IZZI Data Center is located in the area Riga, Latvia (Latvija), and the colocation data center is not  carrier neutral. The data center was last updated on 21-05-2008.",IZZI Data Center,Latvia,,0,Riga,IZZI Data Center,IZZI Ltd.
"
	Beyond.pl Data Center 1 is located in the area Poznan, Poland (Polska), and the colocation data center is  carrier neutral. The data center was last updated on 27-03-2017.",Beyond.pl Data Center 1,Poland,,61-888,Poznan,Beyond.pl Data Center 1,Beyond.pl Sp z o.o.
"
	NAP Info Data Center is located in the area Kuningan, Indonesia, and the colocation data center is  carrier neutral. The data center was last updated on 04-07-2008.",NAP Info Data Center,Indonesia,,12940,Jakarta,NAP Info Data Center,NAP Info
"
	Biznet MegaPOP is located in the area Jakarta (Djakarta), Indonesia, and the colocation data center is  carrier neutral. The data center was last updated on 31-05-2012.",Biznet MegaPOP,Indonesia,,10220,Jakarta,Biznet MegaPOP,Biznet Networks
"
	E-Commerce Park N.V. is located in the area Curacao (Curaçao), Netherlands Antilles (Nederlandse Antillen), and the colocation data center is  carrier neutral. The data center was last updated on 19-09-2007.",E-Commerce Park N.V.,Netherlands Antilles,,00000,Willemstad,,E-Commerce Park N.V.
"
	Panamaserver.com is located in the area Panama City, Panama, and the colocation data center is not  carrier neutral. The data center was last updated on 04-02-2010.",Panamaserver.com,Panama,,00000,Panama,,Panamaserver.com
"
	Sadecehosting.Com is located in the area Istanbul, Turkey (Türkiye), and the colocation data center is  carrier neutral. The data center was last updated on 02-12-2012.",Sadecehosting.Com,Turkey,,34000,Istanbul,Sadecehosting.Com,(Sh) SadeceHosting.Com Internet Services Ltd
"
	LINKdotNET Data Center is located in the area Cairo (Al Qahirah), Egypt, and the colocation data center is not  carrier neutral. The data center was last updated on 30-03-2008.",LINKdotNET Data Center,Egypt,,11431,Cairo,LINKdotNET Data Center,LINKdotNET
"
	EgyptNetwork is located in the area Mansura (El Mansurah), Egypt, and the colocation data center is  carrier neutral. The data center was last updated on 08-12-2007.",EgyptNetwork,Egypt,,11471,Mansura,,EgyptNetwork
"
	WDC13 is located in the area Beltsville, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 28-08-2008.",WDC13,USA,Maryland,20705,Beltsville,WDC13,AiNET
"
	ACD.net MetroIX is located in the area Lansing, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 18-11-2010.",ACD.net MetroIX,USA,Michigan,48906,Lansing,ACD.net MetroIX,ACD.net
"
	a wilhelm.tel DC is located in the area Hamburg, Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 06-11-2008.",a wilhelm.tel DC,Germany,,22846,Norderstedt,a wilhelm.tel DC,wilhelm.tel GmbH
"
	Advantagecom Networks is located in the area Walla Walla, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 22-08-2008.",Advantagecom Networks,USA,Washington,99362,Walla Walla,Advantagecom Networks,"Advantagecom Networks, Inc."
"
	Charlotte Colocation Center is located in the area Charlotte, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 23-10-2007.",Charlotte Colocation Center,USA,North Carolina,28209,Charlotte,Charlotte Colocation Center,"Charlotte Colocation Center, LLC"
