description,title,country,region,postal code,locality,extend address,name
"
	Datacenter Vlaanderen is located in the area Antwerp (Antwerpen), Belgium, and the colocation data center is  carrier neutral. The data center was last updated on 10-01-2017.",Datacenter Vlaanderen,Belgium,,2030,Antwerp,Datacenter Vlaanderen,Yellow Duck
"
	Digital Enterprise Center is located in the area South Bend, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 21-03-2008.",Digital Enterprise Center,USA,Indiana,46628,South Bend,Digital Enterprise Center,Global Access Point
"
	CIX - Cork Internet eXchange is located in the area Cork, Ireland (Éire), and the colocation data center is  carrier neutral. The data center was last updated on 09-01-2017.",CIX - Cork Internet eXchange,Ireland,,T23 R68N,Cork,CIX - Cork Internet eXchange,Cork Internet eXchange
"
	GAP Union Station is located in the area South Bend, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 02-06-2016.",GAP Union Station,USA,Indiana,46601,South Bend,GAP Union Station,Global Access Point
"
	GAP Indy Data Center is located in the area Indianapolis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 21-03-2008.",GAP Indy Data Center,USA,Indiana,46225,Indianapolis,GAP Indy Data Center,Global Access Point
"
	Basis Bay Green Data Centre is located in the area Cyberjaya, Malaysia, and the colocation data center is  carrier neutral. The data center was last updated on 30-12-2008.",Basis Bay Green Data Centre,Malaysia,Kuala Lumpur,63000,Cyberjaya,Basis Bay Green Data Centre,Basis Bay SDN BHD
"
	GramTel Blactkhorn is located in the area South Bend, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-08-2008.",GramTel Blactkhorn,USA,Indiana,46628,South Bend,GramTel Blactkhorn,GramTel
"
	FREENET Malaysia Data Center - CSQ1 is located in the area Cyberjaya, Malaysia, and the colocation data center is  carrier neutral. The data center was last updated on 29-08-2011.",FREENET Malaysia Data Center - CSQ1,Malaysia,,63000,Cyberjaya,FREENET Malaysia Data Center - CSQ1,Free Net Business Solutions Sdn Bhd
"
	GramTel Grand Rapids is located in the area Grand Rapids, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-08-2008.",GramTel Grand Rapids,USA,Michigan,49503,Grand Rapids,GramTel Grand Rapids,GramTel
"
	AIS Lightwave San Diego (LWDC) is located in the area San Diego, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-12-2009.",AIS Lightwave San Diego (LWDC),USA,California,92123,San Diego,AIS Lightwave San Diego (LWDC),American Internet Services
"
	Xecunet is located in the area Frederick, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 08-05-2013.",Xecunet,USA,Maryland,21704,Frederick,Xecunet,"Xecunet, LLC."
"
	BHI NOC is located in the area Minneapolis, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 02-10-2008.",BHI NOC,USA,Minnesota,55344,Eden Prairie,BHI NOC,BHI Advanced Internet
"
	Claranet Faubourg Elysées is located in the area Paris, France (Française), and the colocation data center is not  carrier neutral. The data center was last updated on 29-01-2009.",Claranet Faubourg Elysées,France,,75008,Paris,Claranet Faubourg Elysées,Claranet Limited
"
	Redwood is located in the area Oakville, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 09-04-2008.",Redwood,Canada,,L6J 5E3,Oakville,Redwood,Blink Communications
"
	HOSTING - San Francisco is located in the area San Francisco, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 12-08-2013.",HOSTING - San Francisco,USA,California,94107,San Francisco,HOSTING - San Francisco,HOSTING
"
	HostDrive.Com is located in the area Lake Geneva, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 14-01-2015.",HostDrive.Com,USA,Wisconsin,53147,Lake Geneva,HostDrive.Com,"Bella Mia, Inc."
"
	HOSTING - Dallas is located in the area Dallas, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 12-08-2013.",HOSTING - Dallas,USA,Texas,75201,Dallas,HOSTING - Dallas,HOSTING
"
	HOSTING - Irvine is located in the area Irvine, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 12-08-2013.",HOSTING - Irvine,USA,California,92606,Irvine,HOSTING - Irvine,HOSTING
"
	Gigenet is located in the area Chicago, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 18-10-2007.",Gigenet,USA,Illinois,60005,Arlington Heights,,Gigenet
"
	HOSTING - Louisville is located in the area Louisville, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 12-08-2013.",HOSTING - Louisville,USA,Kentucky,40202,Louisville,HOSTING - Louisville,HOSTING
"
	iWeb-CL is located in the area Montreal, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 02-04-2010.",iWeb-CL,Canada,,H1P 1A8,St-Leonard,iWeb-CL,iWeb Technologies Inc.
"
	iWeb-HD is located in the area Montreal, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 18-10-2007.",iWeb-HD,Canada,,H1W 1G4,Montreal,iWeb-HD,iWeb Technologies Inc.
"
	DSS Data Center is located in the area Reading, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 04-12-2014.",DSS Data Center,USA,Pennsylvania,19610,Wyomissing,DSS Data Center,DSS
"
	iWeb-CO is located in the area Montreal, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 18-10-2007.",iWeb-CO,Canada,,H3E 1Z6,Ile des soeurs,iWeb-CO,iWeb Technologies Inc.
"
	Atlantech Online is located in the area Silver Spring, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 19-12-2007.",Atlantech Online,USA,Maryland,20910,Silver Spring,Atlantech Online,"Atlantech Online, Inc."
"
	American Internet Services (FADC) is located in the area San Diego, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 10-12-2009.",American Internet Services (FADC),USA,California,92123,San Diego,American Internet Services (FADC),American Internet Services
"
	Cyquator Technologies is located in the area Navi Mumbai, India, and the colocation data center is  carrier neutral. The data center was last updated on 03-03-2008.",Cyquator Technologies,India,Maharashtra,400703,Mumbai,,Cyquator Technologies
"
	Data Center West is located in the area Medford, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 28-10-2009.",Data Center West,USA,Oregon,97501,Medford,Data Center West,"Data Center West, Inc"
"
	Colocity is located in the area Adelaide (South Australia), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 16-07-2008.",Colocity,Australia,,5000,Adelaide,Colocity,Colocity Pty Ltd
"
	ColoBâle is located in the area Basel, Switzerland (Schweiz), and the colocation data center is  carrier neutral. The data center was last updated on 10-02-2009.",ColoBâle,Switzerland,,4133,Pratteln,ColoBâle,ColoBâle AG
"
	Sarka data center is located in the area Prague, Czech Republic, and the colocation data center is  carrier neutral. The data center was last updated on 29-03-2008.",Sarka data center,Czech Republic,,16000,Prague,Sarka data center,Vegacom a.s.
"
	The Data Centre is located in the area Auckland, New Zealand, and the colocation data center is  carrier neutral. The data center was last updated on 23-01-2011.",The Data Centre,New Zealand,,1140,Auckland,The Data Centre,data centre limited
"
	FORPSI Datacenter is located in the area Prachatice, Czech Republic, and the colocation data center is not  carrier neutral. The data center was last updated on 28-03-2008.",FORPSI Datacenter,Czech Republic,,384 03,Ktis,FORPSI Datacenter,"INTERNET CZ, a.s."
"
	Master DC Prague is located in the area Prague, Czech Republic, and the colocation data center is  carrier neutral. The data center was last updated on 14-05-2009.",Master DC Prague,Czech Republic,,110 00,Prague,Master DC Prague,"Master Internet, Ltd."
"
	LightEdge Data Center - Altoona is located in the area Des Moines, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 18-06-2015.",LightEdge Data Center - Altoona,USA,Iowa,50009,Altoona,LightEdge Data Center - Altoona,LightEdge Solutions
"
	Master DC Brno is located in the area Morava, Czech Republic, and the colocation data center is  carrier neutral. The data center was last updated on 14-05-2009.",Master DC Brno,Czech Republic,,60200,Brno,Master DC Brno,"Master Internet, Ltd."
"
	Proserver is located in the area Budapest, Hungary, and the colocation data center is  carrier neutral. The data center was last updated on 20-03-2015.",Proserver,Hungary,,1152,Budapest,Proserver,ProServer Ltd.
"
	Host Networks is located in the area Brisbane (Queensland), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 11-06-2014.",Host Networks,Australia,Queensland,4113,Eight Mile Plains,Host Networks,Host Group of Companies Pty Ltd.
"
	XNet Critical Computing Facility is located in the area Chicago, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 03-03-2015.",XNet Critical Computing Facility,USA,Illinois,60532,Lisle,XNet Critical Computing Facility,"XNet Information Systems, Inc."
"
	MDC VeePee is located in the area Paris, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 24-06-2008.",MDC VeePee,France,,75017,Paris,MDC VeePee,VeePee
"
	Continuity Centers is located in the area Long Island, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 02-03-2017.",Continuity Centers,USA,New York,11797,Woodbury,Continuity Centers,"American Business Continuity Centers, LLC."
"
	Cube XS Weatherly is located in the area Karachi, Pakistan (Islamic Republic of Pakistan), and the colocation data center is not  carrier neutral. The data center was last updated on 28-05-2009.",Cube XS Weatherly,Pakistan,,75600,Karachi,Cube XS Weatherly,CubeXS Weatherly (Pvt.) Ltd.
"
	Continuity Centers Hawthorne is located in the area Westchester County, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 02-03-2017.",Continuity Centers Hawthorne,USA,New York,10532,Hawthorne,Continuity Centers Hawthorne,"American Business Continuity Centers, LLC."
"
	noris network (MUC 6) is located in the area Munich (Münich), Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 06-06-2014.",noris network (MUC 6),Germany,,80835,München,noris network (MUC 6),noris network AG
"
	Handy Networks is located in the area Denver, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 19-10-2007.",Handy Networks,USA,Colorado,80202,Denver,Handy Networks,"Handy Networks, LLC"
"
	The Fort - Honolulu, Hawaii is located in the area Honolulu, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 22-09-2007.","The Fort - Honolulu, Hawaii",USA,Hawaii,96819,Honolulu,"The Fort - Honolulu, Hawaii","DR Fortress, LLC"
"
	MicroLink Sopruse DC is located in the area Tallinn, Estonia (Eesti Vabariik), and the colocation data center is not  carrier neutral. The data center was last updated on 12-01-2010.",MicroLink Sopruse DC,Estonia,,13415,Tallinn,MicroLink Sopruse DC,MicroLink Estonia
"
	Herakles Data is located in the area Sacramento, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 19-09-2007.",Herakles Data,USA,California,95834,Sacramento,Herakles Data,QTS (Quality Technology Services)
"
	Epsilon Global Hubs is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 22-10-2008.",Epsilon Global Hubs,United Kingdom,,EC2A 4NW,London,Epsilon Global Hubs,Epsilon Telecommunications
"
	CyberTrails is located in the area Phoenix, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 15-12-2008.",CyberTrails,USA,Arizona,85027,Phoenix,,CyberTrails
"
	Interserver is located in the area Hudson County, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 18-01-2008.",Interserver,USA,New Jersey,07094,Secaucus,Interserver,"InterServer, Inc"
"
	Liberty Center One is located in the area Detroit, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 17-06-2009.",Liberty Center One,USA,Michigan,48073,Royal Oak,Liberty Center One,Liberty Center One Datacenters
"
	Teo is located in the area Vilnius, Lithuania (Republic of Lithuania), and the colocation data center is not  carrier neutral. The data center was last updated on 29-10-2015.",Teo,Lithuania,,11203,Vilnius,Teo,Teo LT
"
	Hostex is located in the area Vilnius, Lithuania (Republic of Lithuania), and the colocation data center is  carrier neutral. The data center was last updated on 03-11-2015.",Hostex,Lithuania,,2000,Vilnius,Hostex,Teo LT
"
	WiTCOM DataCenter 2 is located in the area Frankfurt (Frankfurt am Main), Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 08-01-2010.",WiTCOM DataCenter 2,Germany,,65189,Wiesbaden,WiTCOM DataCenter 2,WiTCOM Wiesbadener Informations- und Telekommunikations GmbH
"
	Hosting365 Facility is located in the area Dublin, Ireland (Éire), and the colocation data center is not  carrier neutral. The data center was last updated on 15-10-2007.",Hosting365 Facility,Ireland,,D12,Dublin,Hosting365 Facility,Hosting365 Ltd.
"
	TierPoint New York is located in the area Westchester County, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 23-02-2017.",TierPoint New York,USA,New York,10528,Hawthorne,TierPoint New York,TierPoint
"
	Enterhost is located in the area Dallas, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 31-10-2007.",Enterhost,USA,Texas,76102,Fort Worth,,Enterhost
"
	WORLDLINK North Datacenter is located in the area Seattle, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 30-08-2011.",WORLDLINK North Datacenter,USA,Washington,98021,Bothell,WORLDLINK North Datacenter,WORLDLINK
"
	Webplus24 is located in the area Mahlow, Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 21-03-2014.",Webplus24,Germany,,15831,Mahlow,Webplus24,Webplus24 GmbH
"
	Vector Comms Northcote Telehouse Centre is located in the area Auckland, New Zealand, and the colocation data center is not  carrier neutral. The data center was last updated on 27-02-2008.",Vector Comms Northcote Telehouse Centre,New Zealand,,Northcote,North Shore City,Vector Comms Northcote Telehouse Centre,VectorFibre
"
	Vostron is located in the area Southampton (Southhampton), United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 31-03-2008.",Vostron,United Kingdom,,SO16 7NS,Hampshire,,Vostron
"
	IgLou Colocation is located in the area Louisville, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-08-2014.",IgLou Colocation,USA,Kentucky,40213,Louisville,IgLou Colocation,"IgLou Internet Services, Inc."
"
	Unilogic Networks DC is located in the area Limburg, The Netherlands (Holland), and the colocation data center is not  carrier neutral. The data center was last updated on 04-10-2011.",Unilogic Networks DC,The Netherlands,,6135KD,Sittard,Unilogic Networks DC,Unilogic Networks B.V.
"
	TWS Hosting is located in the area Long Island, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 23-01-2009.",TWS Hosting,USA,New York,11749,Islandia,,TWS Hosting
"
	Teledata UK is located in the area Manchester, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 16-07-2012.",Teledata UK,United Kingdom,,M22 5QZ,Manchester,,Teledata UK
"
	Cavern Technologies is located in the area Kansas City KS, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 01-10-2007.",Cavern Technologies,USA,Kansas,66219,Lenexa,,Cavern Technologies
"
	Netissime - Groupe ELB Multimedia is located in the area Lyon, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 18-08-2008.",Netissime - Groupe ELB Multimedia,France,,69100,Villeurbanne,Netissime - Groupe ELB Multimedia,Groupe e.l.b. multimedia
"
	G-system Bykovo-POINT-1 is located in the area Moscow, Russia, and the colocation data center is  carrier neutral. The data center was last updated on 24-06-2008.",G-system Bykovo-POINT-1,Russia,,140100,Bykovo,G-system Bykovo-POINT-1,LLC GCX
"
	KIO Networks - World Trade Drive is located in the area San Diego, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 09-09-2015.",KIO Networks - World Trade Drive,USA,California,92128,San Diego,KIO Networks - World Trade Drive,KIO Networks USA
"
	G-System Zhukovskiy-2 is located in the area Moscow, Russia, and the colocation data center is  carrier neutral. The data center was last updated on 05-05-2011.",G-System Zhukovskiy-2,Russia,,140180,Zhukovskiy,G-System Zhukovskiy-2,LLC GCX
"
	KIO Networks - Aero Drive is located in the area San Diego, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 09-09-2015.",KIO Networks - Aero Drive,USA,California,92123,San Diego,KIO Networks - Aero Drive,KIO Networks USA
"
	Profisol Telecom is located in the area Bucharest, Romania, and the colocation data center is not  carrier neutral. The data center was last updated on 16-04-2011.",Profisol Telecom,Romania,,021841,Bucharest,,Profisol Telecom
"
	Euclyde Data Centers DC1 is located in the area Sophia Antipolis, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 21-11-2013.",Euclyde Data Centers DC1,France,,06600,Antibes Sophia Antipolis,Euclyde Data Centers DC1,Euclyde Data Centers
"
	Lifeline Data Centers Henry is located in the area Indianapolis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 19-07-2011.",Lifeline Data Centers Henry,USA,Indiana,46225,Indianapolis,Lifeline Data Centers Henry,"Lifeline Data Centers, LLC"
"
	EVOLINK Datacenter  - Sofia is located in the area Sofia, Bulgaria, and the colocation data center is  carrier neutral. The data center was last updated on 31-05-2014.",EVOLINK Datacenter  - Sofia,Bulgaria,,1574,Sofia,EVOLINK Datacenter  - Sofia,EVOLINK AD
"
	NOS Data Center NS is located in the area Matosinhos, Portugal, and the colocation data center is  carrier neutral. The data center was last updated on 13-11-2015.",NOS Data Center NS,Portugal,,4461-901,Senhora da Hora - Matosinhos,NOS Data Center NS,NOS Sistemas
"
	NOS Data Center LX is located in the area Carnaxide, Portugal, and the colocation data center is  carrier neutral. The data center was last updated on 13-11-2015.",NOS Data Center LX,Portugal,,2790-114,Carnaxide,NOS Data Center LX,NOS Sistemas
"
	NWI Networks is located in the area Hartford, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 28-02-2008.",NWI Networks,USA,Connecticut,06111,Newington,NWI Networks,"New Wave Industries, Inc."
"
	The Karcher Group is located in the area Akron Canton, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 04-03-2008.",The Karcher Group,USA,Ohio,44720,North Canton,,The Karcher Group
"
	iStreet Solutions is located in the area Sacramento, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 19-05-2014.",iStreet Solutions,USA,California,95605,West Sacramento,iStreet Solutions,"iStreet Solutions, LLC"
"
	Fareham is located in the area Portsmouth, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 30-11-2011.",Fareham,United Kingdom,Hampshire,PO15 5TX,Portsmouth,Fareham,SSE Data Centres
"
	KIO Networks 2 is located in the area Queretaro (Querétaro), Mexico (United Mexican States), and the colocation data center is  carrier neutral. The data center was last updated on 09-01-2009.",KIO Networks 2,Mexico,,76240,Queretaro,KIO Networks 2,KIO Networks
"
	KIO Networks 1 is located in the area Mexico City (Ciudad de México), Mexico (United Mexican States), and the colocation data center is  carrier neutral. The data center was last updated on 08-01-2009.",KIO Networks 1,Mexico,,05000,Cuajimalpa,KIO Networks 1,KIO Networks
"
	Atmosera Data Center 1 is located in the area Portland, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 21-09-2015.",Atmosera Data Center 1,USA,Oregon,97005,Beaverton,Atmosera Data Center 1,Atmosera
"
	EscapeNet is located in the area Adelaide (South Australia), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 20-09-2008.",EscapeNet,Australia,,5000,Adelaide,,EscapeNet
"
	Hypertec BCDR is located in the area Montreal, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 11-12-2008.",Hypertec BCDR,Canada,,H4S 1K5,"Saint-Laurent, Quebec",Hypertec BCDR,Hypertec BCDR Inc.
"
	Iliad-Entreprises VTY is located in the area Paris, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 24-01-2009.",Iliad-Entreprises VTY,France,,94400,Vitry sur seineE,Iliad-Entreprises VTY,ILIAD DATACENTER
"
	I-Net is located in the area Milan (Milano), Italy (Italia), and the colocation data center is  carrier neutral. The data center was last updated on 07-11-2007.",I-Net,Italy,,20019,Settimo Milanese,I-Net,I.NET
"
	Data Cave is located in the area Columbus IN, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 19-10-2015.",Data Cave,USA,Indiana,47201,Columbus,Data Cave,Data Cave Inc.
"
	Altitude VDR is located in the area Rouen, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 24-12-2008.",Altitude VDR,France,,27100,Val de reuil,Altitude VDR,Altitude Telecom
"
	NXDATA-2 is located in the area Bucharest, Romania, and the colocation data center is  carrier neutral. The data center was last updated on 03-04-2017.",NXDATA-2,Romania,,020337,Bucharest,NXDATA-2,NXDATA SRL
"
	Cleveland Data Center is located in the area Cleveland, USA (America).",Cleveland Data Center,,,,,,
"
	BTI Youngstown is located in the area Youngstown, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 09-10-2008.",BTI Youngstown,USA,Ohio,44503,Youngstown,BTI Youngstown,B-Telecom Inc.
"
	iBeam Solutions is located in the area Columbus, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 12-02-2009.",iBeam Solutions,USA,Ohio,43215,Columbus,iBeam Solutions,iBeam Solutions LLC
"
	Global Iletisim OSTIM Datacenter is located in the area Ankara, Turkey (Türkiye), and the colocation data center is not  carrier neutral. The data center was last updated on 13-01-2011.",Global Iletisim OSTIM Datacenter,Turkey,,12345,Ankara,Global Iletisim OSTIM Datacenter,Global Iletisim Hizmetleri A.S.
"
	Global Iletisim Fulya Datacenter is located in the area Istanbul, Turkey (Türkiye), and the colocation data center is not  carrier neutral. The data center was last updated on 13-01-2011.",Global Iletisim Fulya Datacenter,Turkey,,34349,Istanbul,Global Iletisim Fulya Datacenter,Global Iletisim Hizmetleri A.S.
"
	Isocentric Networks is located in the area Tulsa, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 10-09-2008.",Isocentric Networks,USA,Oklahoma,74103,Tulsa,Isocentric Networks,isocentric networks inc.
"
	Data Center Bulgaria is located in the area Sofia, Bulgaria, and the colocation data center is  carrier neutral. The data center was last updated on 03-02-2009.",Data Center Bulgaria,Bulgaria,,1164,Sofia,Data Center Bulgaria,Info Data Center Ltd
"
	Kompakar CRC is located in the area Selangor, Malaysia, and the colocation data center is  carrier neutral. The data center was last updated on 22-02-2008.",Kompakar CRC,Malaysia,,46200,Selangor,Kompakar CRC,Kompakar Inc Bhd.
"
	Sago Networks Atlanta is located in the area Atlanta, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 05-09-2007.",Sago Networks Atlanta,USA,Georgia,30093,Norcross,Sago Networks Atlanta,Sago Networks
