description,title,country,region,postal code,locality,extend address,name
"
	CyrusOne- Wappingers Falls, NY is located in the area Wappingers Falls, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 22-07-2015.","CyrusOne- Wappingers Falls, NY",USA,New York,12590,Wappingers Falls,"CyrusOne- Wappingers Falls, NY",CyrusOne
"
	CyrusOne - Norwalk, CT is located in the area Norwalk, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 22-07-2015.","CyrusOne - Norwalk, CT",USA,Connecticut,06854,Norwalk,"CyrusOne - Norwalk, CT",CyrusOne
"
	NxtGen HDDC is located in the area Bangalore (Bengaluru), India, and the colocation data center is  carrier neutral. The data center was last updated on 29-07-2015.",NxtGen HDDC,India,Karnataka,562109,Bangalore,NxtGen HDDC,NxtGen Datacenter and Cloud Technologies
"
	CyrusOne - Totowa, NJ is located in the area Totowa, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 22-07-2015.","CyrusOne - Totowa, NJ",USA,New Jersey,07511,Totowa,"CyrusOne - Totowa, NJ",CyrusOne
"
	Liberated Networks is located in the area Halifax, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 23-07-2015.",Liberated Networks,Canada,,B3K 4C9,Halifax,,Liberated Networks
"
	Orbit One Gent is located in the area Gent (Ghent), Belgium, and the colocation data center is not  carrier neutral. The data center was last updated on 23-12-2011.",Orbit One Gent,Belgium,,9000,Gent,Orbit One Gent,Orbit One Internet Solutions
"
	Colocation Data Center is located in the area Charlotte, USA (America).",Colocation Data Center,,,,,,
"
	Minneapolis Connexion Data Center is located in the area Minneapolis, USA (America).",Minneapolis Connexion Data Center,,,,,,
"
	Lancom is located in the area Thessaloniki, Greece (Hellenic Republic), and the colocation data center is not  carrier neutral. The data center was last updated on 28-12-2011.",Lancom,Greece,,54623,Thessaloniki,,Lancom
"
	Green Mountain AS - DC1-Stavanger is located in the area Stavanger, Norway (Norge), and the colocation data center is  carrier neutral. The data center was last updated on 05-05-2016.",Green Mountain AS - DC1-Stavanger,Norway,Rogaland,4150,Rennesoy,Green Mountain AS - DC1-Stavanger,Green Mountain Data Center
"
	Redcentric Reading is located in the area Berkshire, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 01-07-2014.",Redcentric Reading,United Kingdom,,RG2 0TG,Reading,Redcentric Reading,Redcentric
"
	Pacnet Sydney is located in the area Sydney (New South Wales), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 20-12-2013.",Pacnet Sydney,Australia,NSW,2000,Sydney,Pacnet Sydney,Pacnet
"
	Lefdal Mine Datacenter is located in the area Måløy (Maaloey), Norway (Norge), and the colocation data center is not  carrier neutral. The data center was last updated on 10-01-2012.",Lefdal Mine Datacenter,Norway,,6770,Eid,,Lefdal Mine Datacenter
"
	Deutschherrnkarree is located in the area Nuremberg (Nürnberg), Germany (Deutschland).",Deutschherrnkarree,,,,,,
"
	Necessary Resources is located in the area Philadelphia, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 06-01-2012.",Necessary Resources,USA,Pennsylvania,19440,Hatfield,,Necessary Resources
"
	c/Acer 5-9 is located in the area Barcelona, Spain (España).",c/Acer 5-9,,,,,,
"
	Bitcanal Porto is located in the area Porto, Portugal, and the colocation data center is  carrier neutral. The data center was last updated on 19-01-2012.",Bitcanal Porto,Portugal,,4000,Porto,Bitcanal Porto,Bitcanal
"
	TGT Hong Kong Data Centre 2 is located in the area Hong Kong, Hong Kong (Hong Kong, SAR of China), and the colocation data center is  carrier neutral. The data center was last updated on 02-11-2016.",TGT Hong Kong Data Centre 2,Hong Kong,,852,Hong Kong,TGT Hong Kong Data Centre 2,Towngas Telecommunications Company Limited
"
	ADAMANT is located in the area Kiev, Ukraine (Ukrayina), and the colocation data center is not  carrier neutral. The data center was last updated on 17-07-2012.",ADAMANT,Ukraine,,02096,Kiev,,ADAMANT
"
	Compseq is located in the area Timisoara, Romania, and the colocation data center is  carrier neutral. The data center was last updated on 24-07-2016.",Compseq,Romania,Timis,300611,Timisoara,Compseq,Compseq SRL
"
	Delta Telekom is located in the area Baku (Baki), Azerbaijan (Az?rbaycan), and the colocation data center is not  carrier neutral. The data center was last updated on 18-01-2012.",Delta Telekom,Azerbaijan,,Az1012,Baku,Delta Telekom,Delta Telecom LTD
"
	ByteGrid Annapolis is located in the area Annapolis, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 27-07-2016.",ByteGrid Annapolis,USA,Maryland,21401,Annapolis,ByteGrid Annapolis,ByteGrid
"
	Malaga Data Center is located in the area Malaga, Spain (España), and the colocation data center is  carrier neutral. The data center was last updated on 13-02-2014.",Malaga Data Center,Spain,Malaga,29004,Malaga,,Malaga Data Center
"
	Interconnect Eindhoven is located in the area Eindhoven, The Netherlands (Holland), and the colocation data center is not  carrier neutral. The data center was last updated on 19-01-2012.",Interconnect Eindhoven,The Netherlands,,5657 HJ,Eindhoven,Interconnect Eindhoven,Interconnect Services BV
"
	PDC1 is located in the area Hengelo, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 30-03-2015.",PDC1,The Netherlands,Overijssel,7556 BE,Hengelo,PDC1,Previder
"
	Sify VASHI is located in the area Navi Mumbai, India, and the colocation data center is  carrier neutral. The data center was last updated on 05-08-2013.",Sify VASHI,India,Maharastra,400703,Mumbai,Sify VASHI,SIFY Technologies Pvt Ltd
"
	Pont Saint Martin is located in the area Torino, Italy (Italia), and the colocation data center is  carrier neutral. The data center was last updated on 20-01-2012.",Pont Saint Martin,Italy,,20090,Pont Saint Martin,Pont Saint Martin,Engineering.IT
"
	zColo - 7185 Pollock Dr is located in the area Las Vegas, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 13-02-2014.",zColo - 7185 Pollock Dr,USA,Nevada,89119,Las Vegas,zColo - 7185 Pollock Dr,zColo
"
	Aconcaguared Telecom 52tga is located in the area Los Andes, Chile (República de Chile), and the colocation data center is  carrier neutral. The data center was last updated on 19-01-2012.",Aconcaguared Telecom 52tga,Chile,Valparaiso,2100384,Los Andes,Aconcaguared Telecom 52tga,Aconcaguared Telecom
"
	Kylos DC is located in the area Lodz, Poland (Polska), and the colocation data center is not  carrier neutral. The data center was last updated on 20-01-2012.",Kylos DC,Poland,,93-578,Lodz,Kylos DC,Kylos
"
	ByteGrid Silver Spring/DC Metro is located in the area Silver Spring, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 15-08-2016.",ByteGrid Silver Spring/DC Metro,USA,Maryland,20904,Silver Spring,ByteGrid Silver Spring/DC Metro,ByteGrid
"
	CBJ1 is located in the area Cyberjaya, Malaysia, and the colocation data center is not  carrier neutral. The data center was last updated on 30-01-2012.",CBJ1,Malaysia,Selangor,63000,Cyberjaya,CBJ1,VADS Berhad
"
	VADS Labuan is located in the area Labuan, Malaysia, and the colocation data center is not  carrier neutral. The data center was last updated on 30-01-2012.",VADS Labuan,Malaysia,Sabah,87000,WP Labuan,VADS Labuan,VADS Berhad
"
	AviaPark is located in the area Moscow, Russia, and the colocation data center is  carrier neutral. The data center was last updated on 25-01-2012.",AviaPark,Russia,,127018,Moscow,AviaPark,AviaTel
"
	LDC1 is located in the area Leeds, United Kingdom (UK), and the colocation data center is not  carrier neutral. The data center was last updated on 13-02-2012.",LDC1,United Kingdom,,LS7 2AA,Leeds,LDC1,186k Ltd
"
	EnergyNet Data Center is located in the area Hopkinsville, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 30-01-2012.",EnergyNet Data Center,USA,Kentucky,42240,Hopkinsville,EnergyNet Data Center,EnergyNet
"
	Cogent Boston is located in the area Boston, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 30-07-2012.",Cogent Boston,USA,Massachusetts,02143,Somerville,Cogent Boston,"Cogent Communications, Inc."
"
	Cogent Houston is located in the area Houston, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 30-07-2012.",Cogent Houston,USA,Texas,77060,Houston,Cogent Houston,"Cogent Communications, Inc."
"
	Cogent Frankfurt is located in the area Frankfurt (Frankfurt am Main), Germany (Deutschland), and the colocation data center is not  carrier neutral. The data center was last updated on 30-07-2012.",Cogent Frankfurt,Germany,,60528,Frankfurt am Main,Cogent Frankfurt,"Cogent Communications, Inc."
"
	Cogent New Orleans is located in the area New Orleans, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 27-01-2012.",Cogent New Orleans,USA,Louisiana,70130,New Orleans,Cogent New Orleans,"Cogent Communications, Inc."
"
	VADS CBJ5 is located in the area Cyberjaya, Malaysia, and the colocation data center is  carrier neutral. The data center was last updated on 31-01-2012.",VADS CBJ5,Malaysia,Selangor,63000,Cyberjaya,VADS CBJ5,VADS Berhad
"
	VADS Semarak is located in the area Kuala Lumpur, Malaysia, and the colocation data center is not  carrier neutral. The data center was last updated on 30-01-2012.",VADS Semarak,Malaysia,WP Kuala Lumpur,50574,Kuala Lumpur,VADS Semarak,VADS Berhad
"
	VADS Cyberport is located in the area Johor Bahru, Malaysia, and the colocation data center is  carrier neutral. The data center was last updated on 31-01-2012.",VADS Cyberport,Malaysia,Johor,80300,Johor Bahru,VADS Cyberport,VADS Berhad
"
	VADS Bayan Baru is located in the area Bayan Baru, Malaysia, and the colocation data center is not  carrier neutral. The data center was last updated on 31-01-2012.",VADS Bayan Baru,Malaysia,Penang,11950,Bayan Baru,VADS Bayan Baru,VADS Berhad
"
	Opus Interactive - Portland, Oregon is located in the area Portland, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 28-01-2012.","Opus Interactive - Portland, Oregon",USA,Oregon,97209,Portland,"Opus Interactive - Portland, Oregon",Opus Interactive
"
	VADS Ipoh is located in the area Ipoh, Malaysia, and the colocation data center is not  carrier neutral. The data center was last updated on 30-01-2012.",VADS Ipoh,Malaysia,Perak,30300,Ipoh,VADS Ipoh,VADS Berhad
"
	VADS CBJ2 is located in the area Cyberjaya, Malaysia, and the colocation data center is  carrier neutral. The data center was last updated on 30-01-2012.",VADS CBJ2,Malaysia,Selangor,63000,Cyberjaya,VADS CBJ2,VADS Berhad
"
	Vastnet - Melville is located in the area Long Island, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-01-2012.",Vastnet - Melville,USA,New York,11747,Melvile,Vastnet - Melville,Vastnet
"
	VADS TTDI is located in the area Kuala Lumpur, Malaysia, and the colocation data center is  carrier neutral. The data center was last updated on 30-01-2012.",VADS TTDI,Malaysia,WP Kuala Lumpur,60000,Taman Tun Dr Ismail,VADS TTDI,VADS Berhad
"
	VADS Brickfields is located in the area Kuala Lumpur, Malaysia, and the colocation data center is not  carrier neutral. The data center was last updated on 30-01-2012.",VADS Brickfields,Malaysia,WP Kuala Lumpur,50470,Kuala Lumpur,VADS Brickfields,VADS Berhad
"
	Net Data is located in the area Miami, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 31-01-2012.",Net Data,USA,Florida,33169,Miami,Net Data,Nettalk .Com Inc.
"
	e-shelter Zurich is located in the area Zürich, Switzerland (Schweiz), and the colocation data center is  carrier neutral. The data center was last updated on 03-02-2012.",e-shelter Zurich,Switzerland,,CH-8153,Rümlang,e-shelter Zurich,e-shelter facility services GmbH
"
	Centeris South Hill Data Center is located in the area Tacoma, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 17-03-2014.",Centeris South Hill Data Center,USA,Washington,98374,Puyallup,Centeris South Hill Data Center,benaroya company
"
	Data center IT-park is located in the area Kazan, Russia, and the colocation data center is not  carrier neutral. The data center was last updated on 02-02-2012.",Data center IT-park,Russia,Tatarstan,420107,Kazan,Data center IT-park,High Technology Technopark IT-park
"
	VADS Johor Baru is located in the area Johor Bahru, Malaysia, and the colocation data center is not  carrier neutral. The data center was last updated on 30-01-2012.",VADS Johor Baru,Malaysia,Johor,80672,Johor Bahru,VADS Johor Baru,VADS Berhad
"
	brightsolid online technology is located in the area Dundee, United Kingdom (UK), and the colocation data center is not  carrier neutral. The data center was last updated on 31-01-2012.",brightsolid online technology,United Kingdom,,DD5 3TR,Dundee,,brightsolid online technology
"
	Swoscom is located in the area Lund, Sweden (Sverige), and the colocation data center is not  carrier neutral. The data center was last updated on 06-02-2012.",Swoscom,Sweden,,24761,Veberöd,Swoscom,Swoscom AB
"
	T5 Technology Center is located in the area Kansas City MO, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 06-02-2012.",T5 Technology Center,USA,Missouri,64055,Independence,,T5 Technology Center
"
	Businesspark Eurocom is located in the area Nuremberg (Nürnberg), Germany (Deutschland).",Businesspark Eurocom,,,,,,
"
	LoCoCoLo is located in the area Omaha, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 06-02-2012.",LoCoCoLo,USA,Nebraska,68124,Omaha,LoCoCoLo,"Power PRotection Products, Inc."
"
	Immedion is located in the area Charleston, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 04-08-2016.",Immedion,USA,South Carolina,29456,North Charleston,,Immedion
"
	Immedion is located in the area Asheville, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 04-08-2016.",Immedion,USA,North Carolina,28803,Asheville,,Immedion
"
	SoftLayer - HOU04 is located in the area Houston, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 02-03-2012.",SoftLayer - HOU04,USA,Texas,77002,Houston,SoftLayer - HOU04,SoftLayer
"
	IRZ42 is located in the area Hamburg, Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 05-07-2016.",IRZ42,Germany,,20537,Hamburg,IRZ42,Wieske's Crew GmbH
"
	CCS DC14 is located in the area Leeds, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 06-02-2013.",CCS DC14,United Kingdom,West Yorkshire,LS14 2AQ,Leeds,CCS DC14,C.C.S. (Leeds) Ltd
"
	Claranet - Lisboa is located in the area Lisbon (Lisboa), Portugal, and the colocation data center is not  carrier neutral. The data center was last updated on 28-02-2012.",Claranet - Lisboa,Portugal,,1998-014,Lisboa,Claranet - Lisboa,Claranet Portugal
"
	DataSpace 1 is located in the area Moscow, Russia, and the colocation data center is  carrier neutral. The data center was last updated on 05-03-2012.",DataSpace 1,Russia,,115088,Moscow,DataSpace 1,DataSpace
"
	Dedicated Computing - Appleton is located in the area Appleton, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 20-07-2016.",Dedicated Computing - Appleton,USA,Wisconsin,54913,Appleton,Dedicated Computing - Appleton,Dedicated Computing
"
	Telecom Center Ruse is located in the area Ruse, Bulgaria, and the colocation data center is  carrier neutral. The data center was last updated on 27-03-2012.",Telecom Center Ruse,Bulgaria,,7004,Ruse,Telecom Center Ruse,Neterra Ltd
"
	TierPoint Sioux Falls West is located in the area Sioux Falls, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 23-02-2017.",TierPoint Sioux Falls West,USA,South Dakota,57107,Sioux Falls,TierPoint Sioux Falls West,TierPoint
"
	zColo - 251 Neilston St is located in the area Columbus, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 13-02-2014.",zColo - 251 Neilston St,USA,Ohio,43215,Columbus,zColo - 251 Neilston St,zColo
"
	Interlink is located in the area Spokane, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 08-02-2012.",Interlink,USA,Washington,99202,Spokane,,Interlink
"
	HKTI DC is located in the area Hong Kong, Hong Kong (Hong Kong, SAR of China), and the colocation data center is not  carrier neutral. The data center was last updated on 02-03-2012.",HKTI DC,Hong Kong,,00852,Hong Kong,HKTI DC,Hong Kong Technology Information Ltd.
"
	NeoCenter Toulouse is located in the area Toulouse, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 08-02-2012.",NeoCenter Toulouse,France,,31130,Balma,NeoCenter Toulouse,Neo Telecoms
"
	Rent a Rack is located in the area Oslo, Norway (Norge), and the colocation data center is  carrier neutral. The data center was last updated on 13-03-2012.",Rent a Rack,Norway,,0581,Oslo,Rent a Rack,Rent a Rack AS
"
	Media Sat is located in the area Bucharest, Romania, and the colocation data center is not  carrier neutral. The data center was last updated on 13-03-2012.",Media Sat,Romania,,021385,Bucuresti,,Media Sat
"
	Dammam is located in the area Dammam (Ad Dammam), Saudi Arabia (Kingdom of Saudi Arabia (KSA)), and the colocation data center is not  carrier neutral. The data center was last updated on 08-03-2012.",Dammam,Saudi Arabia,,9531,Dammam,Dammam,NourNet
"
	IO is located in the area Singapore, Singapore, and the colocation data center is not  carrier neutral. The data center was last updated on 09-06-2016.",IO,Singapore,,569877,Singapore,,IO
"
	Dedicated Computing - Milwaukee is located in the area Milwaukee, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 20-07-2016.",Dedicated Computing - Milwaukee,USA,Wisconsin,53226,Milwaukee,Dedicated Computing - Milwaukee,Dedicated Computing
"
	D-ALiX is located in the area Santa Cruz de Tenerife, Spain (España), and the colocation data center is  carrier neutral. The data center was last updated on 12-03-2012.",D-ALiX,Spain,Islas Canarias,38600,Granadilla de Abona,,D-ALiX
"
	NeoCenter Montpellier is located in the area Montpellier, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 08-02-2012.",NeoCenter Montpellier,France,,34070,Montpellier,NeoCenter Montpellier,Neo Telecoms
"
	Harbour MSP, Sydney is located in the area Sydney (New South Wales), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 28-03-2012.","Harbour MSP, Sydney",Australia,NSW,2007,Ultimo,"Harbour MSP, Sydney",Harbour MSP
"
	Dataplace is located in the area Dordrecht, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 14-03-2012.",Dataplace,The Netherlands,ZH,2952 CB,Alblasserdam,,Dataplace
"
	KHEOPS Organisation  2 is located in the area Paris, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 15-03-2012.",KHEOPS Organisation  2,France,,78145,Velizy,KHEOPS Organisation  2,KHEOPS Organisation
"
	3z Canada YYZ2 is located in the area Mississauga, Canada, and the colocation data center is not  carrier neutral. The data center was last updated on 15-08-2012.",3z Canada YYZ2,Canada,ON,L5L 5X9,Mississauga,3z Canada YYZ2,3z Canada
"
	Harbour MSP, Melbourne is located in the area Melbourne (Victoria), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 28-03-2012.","Harbour MSP, Melbourne",Australia,Victoria,3207,Port Melbourne,"Harbour MSP, Melbourne",Harbour MSP
"
	Jaguar Datacenter - MRS01 is located in the area Marseille, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 28-03-2012.",Jaguar Datacenter - MRS01,France,,13016,Marseille,Jaguar Datacenter - MRS01,Jaguar Network
"
	HTN-IDC is located in the area Phnom Penh, Cambodia (Kingdom of Cambodia), and the colocation data center is  carrier neutral. The data center was last updated on 21-03-2012.",HTN-IDC,Cambodia,,023-880,Phnom Penh,HTN-IDC,"HT Networks Co,. Ltd."
"
	Intellicentre 2 is located in the area Sydney (New South Wales), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 04-04-2012.",Intellicentre 2,Australia,NSW,2113,North Ryde,Intellicentre 2,Macquarie Cloud Services
"
	Harbour MSP, Shanghai is located in the area Shanghai, China, and the colocation data center is  carrier neutral. The data center was last updated on 28-03-2012.","Harbour MSP, Shanghai",China,,201203,Pudong New Area,"Harbour MSP, Shanghai",Harbour MSP
"
	Alienor.NET is located in the area Bordeaux, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 31-03-2012.",Alienor.NET,France,Gironde,33110,Le Bouscat,Alienor.NET,ALIENOR.NET
"
	Telemedia Rivonia Teleport is located in the area Johannesburg (Jozi), South Africa, and the colocation data center is  carrier neutral. The data center was last updated on 28-03-2012.",Telemedia Rivonia Teleport,South Africa,Gauteng,2128,Johannesburg,Telemedia Rivonia Teleport,Telemedia (PTY) LTD
"
	GDCL is located in the area Windsor, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 01-04-2012.",GDCL,Canada,Ontario,N9A 1H9,Windsor,GDCL,MNSi Internet
"
	Cirrus9 - DC1 is located in the area Saint John, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 13-01-2017.",Cirrus9 - DC1,Canada,NB,E2l 1E8,Saint John,Cirrus9 - DC1,Cirrus9 Inc
"
	Datahata is located in the area Minsk, Belarus (Republic of Belarus), and the colocation data center is  carrier neutral. The data center was last updated on 02-04-2012.",Datahata,Belarus,Minsk,220000,Minsk,Datahata,Datahata Ltd
"
	HC Colo #1 is located in the area Madison, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 09-04-2012.",HC Colo #1,USA,Wisconsin,53703,Madison,HC Colo #1,Hoyos Consulting LLC
"
	TelecityGroup HEL3 Suvilahti is located in the area Helsinki, Finland (Suomi), and the colocation data center is  carrier neutral. The data center was last updated on 22-10-2014.",TelecityGroup HEL3 Suvilahti,Finland,,00540,Helsinki,TelecityGroup HEL3 Suvilahti,TelecityGroup Finland
"
	InterDC is located in the area Overijssel, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 05-04-2012.",InterDC,The Netherlands,Overijssel,7547AB,Enschede,,InterDC
"
	DouaiCentral is located in the area Douai, France (Française), and the colocation data center is not  carrier neutral. The data center was last updated on 18-04-2012.",DouaiCentral,France,,59500,Douai,DouaiCentral,SQL Technologies SAS
"
	XeonBD is located in the area Dhaka, Bangladesh (Peoples Republic of Bangladesh), and the colocation data center is not  carrier neutral. The data center was last updated on 01-04-2015.",XeonBD,Bangladesh,Dhaka,1207,Dhaka,,XeonBD
"
	VDC Virtual Data Corp. is located in the area Saskatoon, Canada, and the colocation data center is not  carrier neutral. The data center was last updated on 10-04-2012.",VDC Virtual Data Corp.,Canada,Saskatchewan,S7N 3R3,Saskatoon,,VDC Virtual Data Corp.
"
	Intellicentre 1 is located in the area Sydney (New South Wales), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 05-04-2012.",Intellicentre 1,Australia,NSW,2000,Sydney,Intellicentre 1,Macquarie Cloud Services
"
	Inland Fiber & Data is located in the area Winter Haven, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-03-2016.",Inland Fiber & Data,USA,Florida,33881,Winter Haven,,Inland Fiber & Data
"
	NEXTDC - S1 is located in the area Sydney (New South Wales), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 19-04-2012.",NEXTDC - S1,Australia,NSW,2113,Macquarie Park,NEXTDC - S1,NEXTDC
"
	Advanced Data Centres is located in the area Whangarei, New Zealand, and the colocation data center is not  carrier neutral. The data center was last updated on 25-02-2013.",Advanced Data Centres,New Zealand,,0112,Whangarei,,Advanced Data Centres
"
	NEXTDC - P1 is located in the area Perth (Western Australia), Australia, and the colocation data center is  carrier neutral. The data center was last updated on 19-04-2012.",NEXTDC - P1,Australia,Western Australia,6090,Malaga,NEXTDC - P1,NEXTDC
"
	Zone Ramallah is located in the area Ramallah, Palestine (State of Palestine), and the colocation data center is  carrier neutral. The data center was last updated on 23-04-2012.",Zone Ramallah,Palestine,,0001,Ramallah,Zone Ramallah,Zone Technologies Ltd
"
	SNS Littleton, NH is located in the area Littleton, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 23-04-2012.","SNS Littleton, NH",USA,New Hampshire,03561,Littleton,"SNS Littleton, NH","Secured Network Services, Inc."
"
	Colocall Internet Data Center is located in the area Kiev, Ukraine (Ukrayina), and the colocation data center is  carrier neutral. The data center was last updated on 16-05-2012.",Colocall Internet Data Center,Ukraine,,04053,Kiev,Colocall Internet Data Center,Colocall Co. Ltd
"
	Colocall Internet Data Center is located in the area Kiev, Ukraine (Ukrayina), and the colocation data center is not  carrier neutral. The data center was last updated on 16-05-2012.",Colocall Internet Data Center,Ukraine,Ukraine,04053,Kiev,Colocall Internet Data Center,Colocall Co. Ltd
"
	VA-VPS is located in the area Vienna Virginia, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 25-04-2012.",VA-VPS,USA,Virginia,22182,Vienna,VA-VPS,Open Hosting
"
	T5 Data Centers - T5@Portland is located in the area Portland, USA (America).",T5 Data Centers - T5@Portland,,,,,,
