description,title,country,region,postal code,locality,extend address,name
"
	Datahouse Alphen (Amsterdam) is located in the area Amsterdam, The Netherlands (Holland).",Datahouse Alphen (Amsterdam),,,,,,
"
	Datahouse Amersfoort is located in the area Amersfoort, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 27-11-2011.",Datahouse Amersfoort,The Netherlands,,3824ml,Amersfoort,Datahouse Amersfoort,Datahouse Datacenters
"
	Data Facilities Spijkenisse is located in the area Rotterdam, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 28-05-2016.",Data Facilities Spijkenisse,The Netherlands,ZH,3208 KA,Spijkernisse,Data Facilities Spijkenisse,Data Facilities
"
	LDeX1 is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 01-03-2017.",LDeX1,United Kingdom,,NW2 7JA,London,LDeX1,LDeX Group
"
	Datahouse Alphen is located in the area Alphen aan den Rijn, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 27-11-2011.",Datahouse Alphen,The Netherlands,,2404cd,Alphen a/d Rijn,Datahouse Alphen,Datahouse Datacenters
"
	eASPNet Cloud IDC is located in the area Taipei, Taiwan (Formosa), and the colocation data center is  carrier neutral. The data center was last updated on 30-11-2011.",eASPNet Cloud IDC,Taiwan,,114,Taipei,eASPNet Cloud IDC,eASPNet Taiwan Inc.
"
	TulsaConnect (DC3) Oklahoma is located in the area Tulsa, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 03-03-2012.",TulsaConnect (DC3) Oklahoma,USA,Oklahoma,74134,Tulsa,TulsaConnect (DC3) Oklahoma,TulsaConnect
"
	FirstHeberg is located in the area Valenciennes, France (Française), and the colocation data center is not  carrier neutral. The data center was last updated on 17-02-2013.",FirstHeberg,France,,59300,Valenciennes,FirstHeberg,Techcréa Solutions SARL
"
	MIDCON Recovery Solutions is located in the area Oklahoma City, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 29-11-2011.",MIDCON Recovery Solutions,USA,Oklahoma,73114,Oklahoma City,,MIDCON Recovery Solutions
"
	Blue Chip is located in the area Bedford, united Kingdom (UK), and the colocation data center is not  carrier neutral. The data center was last updated on 18-10-2012.",Blue Chip,united Kingdom,,MK44 3JZ,Bedford,,Blue Chip
"
	Volico Deerfield is located in the area Fort Lauderdale, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 28-02-2013.",Volico Deerfield,USA,Florida,33064,Pompano Beach,Volico Deerfield,Volico Data Centers
"
	Sofia Data Center is located in the area Sofia, Bulgaria, and the colocation data center is  carrier neutral. The data center was last updated on 05-08-2013.",Sofia Data Center,Bulgaria,,1784,Sofia,Sofia Data Center,Neterra Ltd
"
	NavLink Data Center is located in the area Sophia Antipolis, France (Française), and the colocation data center is  carrier neutral. The data center was last updated on 07-12-2011.",NavLink Data Center,France,,06600,Antibes,NavLink Data Center,NavLink
"
	Datacube is located in the area Bratislava, Slovakia (Slovak Republic), and the colocation data center is  carrier neutral. The data center was last updated on 28-12-2011.",Datacube,Slovakia,,85101,Bratislava,Datacube,DCBA s.r.o.
"
	DataZone Internet Data Center is located in the area Cochin, India, and the colocation data center is not  carrier neutral. The data center was last updated on 12-12-2011.",DataZone Internet Data Center,India,Kerala,682025,Cochin,DataZone Internet Data Center,Techmap IT Solution Pvt. Ltd
"
	Teliti Datacentre is located in the area Mukim Labu, Malaysia, and the colocation data center is  carrier neutral. The data center was last updated on 27-02-2012.",Teliti Datacentre,Malaysia,Negeri Sembilan,71760,Bandar Enstek,Teliti Datacentre,Teliti Datacentres
"
	ScaleMatrix is located in the area San Diego, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 20-12-2011.",ScaleMatrix,USA,California,92123,San Diego,,ScaleMatrix
